customer_id,customer_name,age,account_type,account_balance,years_with_bank,state,credit_score,monthly_banking_revenue
CUST-56768,Jennifer Snow,55,Savings,19742.52,19,ID,655,6.82
CUST-783694,Jesse Edwards,49,Checking,2436.91,12,NY,669,56.5
CUST-8091,Tyler Berger,46,Checking,8876.27,25,VA,727,39.9
CUST-886527,Melinda Kim,32,Savings,52525.18,3,NC,847,66.39
CUST-511105,Kent Flores,29,Checking,48503.74,10,AK,582,44.21
CUST-79707,Valerie Miller,62,Checking,67922.67,12,MD,743,61.01
CUST-547933,James Kane,54,Student,3227.73,18,WY,730,10.73
CUST-627916,Christopher Allen,44,Savings,16533.66,3,WV,608,28.55
CUST-838271,Laura Hall,46,Student,2777.67,5,PA,625,8.4
CUST-730083,Alice Grimes,59,Student,2019.0,1,MT,668,6.87
CUST-285887,Morgan Haynes,32,Student,951.35,2,MN,654,6.39
CUST-85879,Jennifer Kennedy,51,Student,4813.35,19,AK,634,14.03
CUST-58788,Lauren Lopez,32,Business,84428.44,10,NV,699,261.48
CUST-902494,Joseph Johnson,48,Student,3939.11,29,VT,639,14.13
CUST-284593,Michael Gutierrez,37,Student,3517.72,11,AZ,698,5.28
CUST-553984,Lori Sutton,23,Premium,782062.32,2,CO,567,159.68
CUST-775123,Alexander Le,34,Student,1674.86,14,KS,662,0.84
CUST-319382,Raymond Bullock,49,Student,3873.2,23,AL,798,0.75
CUST-338683,Kimberly Johnson,57,Checking,29406.24,39,NJ,667,25.1
CUST-331415,Lawrence Lee,44,Savings,33880.4,7,MA,599,39.13
CUST-410360,Miranda Walker,44,Checking,1580.68,24,PA,656,45.58
CUST-436886,David Stewart,49,Savings,61285.3,13,VT,613,41.45
CUST-743092,Melissa Lee,52,Student,4261.47,15,MA,802,7.85
CUST-734587,April Weiss,43,Student,5123.18,2,SC,712,10.37
CUST-943412,Jared Ewing,55,Savings,24543.94,25,MO,647,55.42
CUST-244619,Jerry Bowman,48,Savings,4235.01,18,AR,681,43.3
CUST-153849,Joel Poole,46,Checking,7221.74,18,NM,618,53.98
CUST-782962,Antonio Fuentes,45,Savings,9720.77,20,PA,719,11.63
CUST-357573,Shelly Jackson,66,Premium,393753.58,7,SC,756,184.66
CUST-942169,Renee Huffman,77,Business,212119.69,13,MT,618,428.45
CUST-965136,Sally Garner,58,Checking,45489.97,28,WI,694,11.17
CUST-97029,Ryan Ryan,77,Business,221691.26,20,AK,615,398.27
CUST-399174,Jordan Jacobs,32,Business,390203.3,10,VA,632,213.44
CUST-393190,Larry Snyder,18,Business,255528.44,0,NY,637,182.65
CUST-775418,Michael Hart,33,Business,421946.8,1,SD,692,75.94
CUST-32009,Andrea Brown,50,Savings,36075.96,23,NJ,830,52.04
CUST-364024,Stephanie Lawrence,59,Checking,59377.62,37,KS,633,67.55
CUST-812071,Randy Lopez,31,Student,390.14,2,AR,719,14.59
CUST-752326,Katherine Lewis,25,Premium,395341.06,4,CT,826,128.2
CUST-932566,Mason Johnson,62,Premium,799044.61,30,OR,642,104.81
CUST-631408,Deanna Evans,19,Savings,18451.23,0,CO,788,23.67
CUST-404443,Mitchell Soto,43,Savings,14682.48,21,FL,779,31.17
CUST-973158,Heather Hernandez PhD,21,Student,3553.18,2,SD,632,12.31
CUST-598667,Ryan Mcdonald,45,Checking,39732.23,20,ME,683,29.47
CUST-696198,Todd Reyes MD,38,Premium,42301.79,7,CT,729,48.47
CUST-604555,Christopher Smith,28,Premium,846327.91,3,NE,668,145.49
CUST-564117,Erica Thomas,46,Business,70292.04,11,PA,721,450.14
CUST-987540,Joanna Carpenter,55,Student,222.33,16,WA,590,5.96
CUST-858548,Alexander Anderson,21,Premium,142151.46,0,CO,782,119.67
CUST-977610,Mary French,49,Business,564084.23,31,SD,620,421.83
CUST-858870,Barbara Graham,68,Savings,13457.51,13,AK,689,16.06
CUST-902552,Nancy Johnson,62,Checking,45989.31,14,NC,685,42.79
CUST-635818,Rachel Graham,75,Student,3607.13,17,MI,820,8.48
CUST-3384,Andrea Ramirez,41,Premium,380373.8,3,PA,757,55.32
CUST-599545,Justin Valdez,54,Student,2670.52,12,VA,789,2.12
CUST-51336,Craig Taylor,30,Checking,4320.07,8,GA,734,49.33
CUST-723826,Christopher Johnson,60,Business,633258.2,1,CO,539,266.57
CUST-974197,Mary Vaughn,27,Savings,6655.42,4,KY,516,8.52
CUST-484266,John Simpson,40,Checking,22729.9,10,WA,737,53.12
CUST-52169,Michael Marshall,67,Checking,11086.24,30,RI,685,52.56
CUST-731550,Carl Benjamin,69,Student,4599.93,39,VT,569,4.41
CUST-110290,Jessica Douglas,19,Student,4042.28,1,WI,675,9.44
CUST-770964,Jennifer Hamilton,50,Checking,24141.36,11,WY,677,17.71
CUST-514700,Mark Nixon,18,Student,3524.23,0,TN,672,10.58
CUST-379602,Robert Jennings,25,Business,126694.73,7,NE,733,278.07
CUST-621640,Brittany Gomez,50,Premium,1241720.79,26,HI,604,31.78
CUST-855590,Barbara Harris,37,Savings,19223.91,18,NY,595,54.28
CUST-420760,Timothy Bass,44,Checking,17845.36,7,IL,756,67.6
CUST-979108,Julia Campbell,30,Premium,400302.79,11,NM,720,72.26
CUST-556423,Lisa Bell,37,Business,269600.88,1,ND,616,449.69
CUST-51073,Brian Owens III,43,Business,281200.34,12,NE,597,324.09
CUST-849843,Jennifer Kennedy,36,Student,5146.7,3,AZ,584,5.37
CUST-380744,Kristen Simon,74,Student,2347.74,33,KS,682,10.48
CUST-513869,Deborah Cole,34,Premium,490928.21,15,MN,697,70.06
CUST-295858,Mr. James Mercer DVM,43,Premium,940652.3,24,SD,662,178.1
CUST-699051,Felicia Pierce,54,Savings,43908.95,19,DE,740,70.33
CUST-226660,Jacqueline Munoz,37,Student,542.99,1,ID,633,8.3
CUST-618926,Caleb Bell,40,Student,1786.07,2,KY,495,12.43
CUST-810571,Bobby Gonzalez,22,Savings,43442.73,0,AR,789,23.1
CUST-730887,David Bowman,69,Checking,25991.13,21,AR,660,37.06
CUST-129067,Robert Rodriguez,53,Premium,411242.34,24,CO,704,54.91
CUST-93372,Tonya Andrews,85,Student,6010.53,8,AK,769,9.45
CUST-221059,Michael Lewis,43,Business,577480.34,11,OR,603,344.31
CUST-80008,Justin Hawkins,20,Business,2963.11,1,IN,696,156.2
CUST-41529,James Anderson,33,Student,2346.31,0,KS,566,11.98
CUST-836598,Rachel Brooks,35,Savings,7170.19,16,NC,593,40.49
CUST-246857,Gary Henderson,70,Student,5286.59,40,UT,750,10.15
CUST-180003,Kyle Hill,44,Business,118293.3,4,MI,798,494.07
CUST-575522,Dawn Gordon,46,Savings,44972.81,17,CT,611,12.42
CUST-119261,Christopher Garza,67,Savings,42374.7,27,NC,723,47.4
CUST-696729,Donna Richardson,29,Business,506950.05,1,ID,664,61.18
CUST-474016,William Owen,31,Savings,41754.9,13,NH,569,59.72
CUST-144121,Angela Newman,58,Checking,14804.07,17,MN,832,19.54
CUST-535490,Taylor Smith,24,Premium,409375.08,0,NC,725,117.75
CUST-256161,Destiny Griffith,35,Savings,27774.08,5,NH,641,73.34
CUST-884990,Russell Schneider,36,Checking,20623.87,1,VT,610,27.52
CUST-58175,Vincent Schwartz,45,Student,4873.11,17,WI,613,1.74
CUST-518991,Priscilla Hart,49,Student,3839.58,0,NV,675,1.35
CUST-480960,Benjamin Martinez,41,Checking,45019.84,23,TN,607,44.88
CUST-315902,Martin Clark,36,Student,3988.37,3,DE,740,2.33
CUST-259664,Melissa Jones,52,Premium,136590.48,30,UT,601,66.59
CUST-346476,Andres Matthews PhD,46,Premium,140662.09,1,MI,740,196.64
CUST-481744,Malik Robertson,19,Premium,854144.34,0,WY,723,185.23
CUST-768682,Jamie Miles,35,Savings,51379.53,6,NV,725,47.88
CUST-391286,Harold Butler,33,Student,378.26,1,AZ,535,13.1
CUST-924907,Christina Ray,20,Premium,200985.74,1,FL,683,133.55
CUST-426704,Stacy Gibbs,48,Business,606784.27,14,PA,607,298.73
CUST-4995,Kimberly Nguyen,54,Student,3485.92,26,DE,547,2.99
CUST-419153,Denise Schroeder,44,Business,251912.6,15,SC,583,232.55
CUST-607345,Denise Pham,35,Premium,980743.55,4,UT,683,184.39
CUST-63379,Andrea Evans,32,Premium,271135.3,5,WI,649,129.96
CUST-899790,Dr. John Dean,60,Business,558670.6,39,MT,633,297.49
CUST-365751,Kevin Wilson,57,Checking,39900.49,25,WY,589,44.25
CUST-1464,Joseph Jones,52,Checking,7642.95,19,MS,795,48.2
CUST-572205,Lisa Carr,18,Student,238.76,0,AR,616,3.37
CUST-983632,Ashley Chung,53,Checking,28485.67,13,AZ,663,32.54
CUST-799707,Lori Sanchez,50,Savings,20564.51,20,LA,631,19.6
CUST-470074,Erica Rice,46,Business,489150.85,24,NE,667,52.94
CUST-835269,Madison Garcia,62,Student,6488.61,39,CA,700,2.9
CUST-340735,Amanda Lopez,50,Business,270235.28,15,GA,647,425.3
CUST-480306,Anthony Davis,37,Savings,3363.35,2,VA,645,52.12
CUST-877779,Ryan Koch,50,Checking,57843.58,18,OR,646,63.47
CUST-169210,Eric Everett,49,Business,411169.88,22,CT,846,162.25
CUST-952727,Jason Martin,58,Savings,56031.91,0,OH,653,20.65
CUST-956335,Caleb Hall,63,Checking,13927.1,24,DE,647,25.22
CUST-743491,James Fletcher,18,Checking,35498.09,0,WY,599,6.43
CUST-177856,David Mitchell,18,Business,442325.49,0,MI,651,411.14
CUST-514002,Angela Wallace,45,Business,529151.39,25,ID,814,483.83
CUST-698779,Donald Reyes,49,Business,531143.47,5,VA,662,193.21
CUST-65073,Rebecca Howe,57,Premium,1194693.71,15,HI,503,44.67
CUST-873673,Kaitlyn Williams,48,Business,555144.43,6,OH,741,302.59
CUST-694148,Anthony Moody,22,Savings,9526.91,2,GA,771,41.78
CUST-971335,Sarah Jones,50,Savings,53615.81,0,NH,646,40.67
CUST-462943,Patricia Rodriguez,54,Business,427218.57,10,HI,850,145.02
CUST-199109,Benjamin Chen,47,Savings,5139.75,18,KS,699,55.12
CUST-773995,Christopher Gaines,38,Premium,171023.47,0,TX,612,118.33
CUST-173495,Brian Morgan,57,Premium,1035368.11,20,MT,611,55.92
CUST-70647,Andrew Lawson,46,Student,5686.43,14,AR,641,11.99
CUST-457307,Ronald Rice,52,Student,316.68,34,IN,706,10.44
CUST-951423,Bryan Robinson,60,Premium,1062024.02,30,NC,639,164.36
CUST-206631,Ian Lara,40,Student,895.02,17,MD,601,11.92
CUST-147302,Veronica Harper,38,Checking,26494.49,7,ID,710,65.15
CUST-965762,Taylor Horton,56,Student,4054.13,11,CO,606,2.65
CUST-921979,Bruce Lucas,58,Business,155255.58,18,SC,788,332.56
CUST-103708,Monica Dunn,51,Premium,87916.43,3,KY,830,96.85
CUST-593304,Gary Rojas,33,Checking,43486.9,2,HI,580,34.91
CUST-318785,Carolyn Olsen,18,Checking,7928.69,0,WI,799,65.84
CUST-904697,Michael Santos,54,Savings,34851.98,22,MD,675,67.14
CUST-167806,Susan Nelson,49,Business,147525.69,9,MD,589,257.38
CUST-118387,Duane Potter,81,Student,3988.02,18,IA,690,13.5
CUST-226910,Tonya Steele,46,Business,557615.09,18,FL,738,56.98
CUST-416045,Lauren Carpenter,52,Savings,62157.07,21,IN,697,44.38
CUST-298330,Jennifer Moore,33,Premium,765963.49,14,CO,717,123.34
CUST-949763,Christopher Page,73,Savings,51597.19,30,CT,787,17.71
CUST-113322,Steve Hernandez,68,Premium,462687.14,5,OR,639,107.31
CUST-649361,Maria Miles,30,Student,740.56,5,WI,669,1.84
CUST-457011,Kathy Horne,45,Premium,960749.45,12,OH,767,85.04
CUST-409997,Marcus Stephens,19,Student,1928.42,0,UT,802,1.66
CUST-724599,Julie Ayers,42,Premium,856047.68,9,TX,645,110.02
CUST-628996,Matthew Bryant,29,Business,364590.35,10,VT,547,416.23
CUST-700474,Lawrence Garcia,57,Premium,1032422.17,36,AL,685,59.93
CUST-436566,Donald Fowler,25,Premium,88324.56,0,WY,576,167.6
CUST-129765,Tracy Lee MD,39,Business,58558.55,16,UT,813,321.42
CUST-119201,Allison Davis,41,Premium,934632.71,14,VT,559,166.67
CUST-199950,Ernest Taylor,41,Premium,264310.92,5,NC,658,89.78
CUST-107312,Ronald Ferguson,18,Student,624.53,0,MS,675,12.12
CUST-179123,Cynthia White,41,Checking,47559.59,11,LA,735,74.12
CUST-262883,Valerie Acosta,72,Checking,382.04,6,CO,770,39.07
CUST-154718,Sherri Morse,40,Premium,23359.64,9,OR,591,170.57
CUST-413701,James Bass,83,Savings,48840.56,11,IL,684,52.95
CUST-660321,Richard Smith,45,Premium,485536.61,13,HI,678,129.43
CUST-146210,Timothy Ponce,47,Premium,1157453.77,23,MN,668,121.9
CUST-923951,David Coleman,36,Premium,798051.73,11,NJ,636,128.67
CUST-838694,Jerome Cruz,44,Savings,12415.09,13,MS,636,41.35
CUST-326040,Lisa Dennis,34,Premium,62683.12,0,AK,688,68.69
CUST-683475,Taylor Guerrero PhD,41,Student,3801.21,23,RI,800,14.12
CUST-517465,Susan Simmons,18,Business,360727.93,0,OH,767,444.44
CUST-414333,Elizabeth Mata,63,Business,56003.01,24,NC,514,278.21
CUST-734842,Sharon Tucker,39,Premium,39352.45,19,FL,650,32.25
CUST-140607,Jerry Morgan,23,Checking,31336.22,4,IA,617,74.74
CUST-832036,Michael Smith,28,Premium,21034.58,1,IA,820,51.53
CUST-873002,Andrew Moody,59,Checking,52510.2,6,WV,781,18.72
CUST-895980,Michael Olsen,55,Checking,15975.08,4,KS,589,32.23
CUST-790969,Shari Levy,37,Savings,30202.81,19,MD,719,33.69
CUST-151666,Joel Villegas,26,Student,2180.65,6,NM,737,7.96
CUST-361407,Jeffrey Roberts,41,Savings,42669.34,8,MN,650,13.75
CUST-67875,Robert Zhang,55,Savings,64746.01,36,ID,715,61.86
CUST-621397,Linda Washington,39,Savings,34230.9,2,VT,772,22.79
CUST-885001,Nathaniel Molina,28,Business,469280.82,0,AR,729,238.77
CUST-747959,Juan Lyons,53,Premium,536166.63,15,MD,655,181.26
CUST-230194,Ashley Arnold,49,Premium,901651.23,16,MO,579,181.07
CUST-833655,Laura Velez,58,Student,2057.94,16,VA,665,9.73
CUST-679586,Michael Jackson,37,Checking,23040.37,0,SC,763,5.99
CUST-874721,Matthew Black,34,Checking,11464.06,11,IA,567,65.48
CUST-501328,Nancy Williams,21,Savings,37193.71,3,CO,728,60.3
CUST-189420,Crystal Mckee,25,Premium,635989.78,1,CT,820,122.19
CUST-478788,Crystal Meyer,18,Checking,1009.95,0,LA,815,63.15
CUST-631331,David Hoover,48,Business,467666.3,8,MT,672,490.38
CUST-760707,Kenneth Lopez,36,Savings,32065.24,17,GA,711,45.56
CUST-84803,Emma Edwards,44,Student,286.2,9,MD,768,0.98
CUST-490292,Hannah Briggs,46,Premium,766398.62,23,NY,692,175.26
CUST-896190,April Mendoza MD,39,Student,3986.93,1,MI,675,13.73
CUST-585723,Patricia Evans,49,Business,202997.68,14,LA,543,77.84
CUST-296277,Lisa Sparks,24,Checking,12113.16,3,VA,739,40.79
CUST-418904,Gregory Gray,47,Savings,51265.17,28,AZ,665,69.68
CUST-436363,Jennifer Mack,45,Checking,39550.74,13,HI,707,44.6
CUST-249225,Alexandra Nguyen,36,Checking,10612.64,10,UT,617,50.81
CUST-606916,Levi Morrow,47,Checking,56090.14,10,VA,601,54.51
CUST-579280,Ian Goodman,51,Business,483800.45,18,SD,543,466.76
CUST-170795,Lauren Rogers,60,Checking,41499.24,28,VA,717,57.82
CUST-205672,Samantha Zimmerman,48,Student,1288.96,1,AZ,758,9.47
CUST-778563,Austin Phillips,69,Savings,17029.89,37,TN,761,30.03
CUST-610098,Matthew Gomez,18,Student,3618.3,0,VT,577,10.54
CUST-965443,Tammy Garcia,35,Checking,5033.84,4,PA,682,6.61
CUST-625633,Eric Rodriguez,52,Premium,752921.01,18,CA,621,178.52
CUST-241584,Renee Patterson,47,Student,1308.93,2,ID,619,1.71
