FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,PhoneNumber,Email,SmokerStatus,Height,Weight,Occupation,AnnualIncome,PolicyNumber,PolicyType,IssueDate,MaturityDate,DeathBenefitAmount,PremiumAmount,PremiumFrequency,CashValue,SurrenderChargePercent,Status,RiskClass,UnderwritingDecision,BeneficiaryFirstName,BeneficiaryLastName,RelationshipToInsured,BeneficiaryType,PercentageShare,BeneficiaryAddress,BeneficiaryCity,BeneficiaryState,BeneficiaryZipCode,BeneficiaryPhone,BeneficiaryEmail,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,ReferenceNumber,DueDate,LateFee,ProcessedBy
Colin,Johnson,1998-12-17,M,569 Rios Turnpike,Toddhaven,MP,72389,274.492.4243x754,justin29@example.org,N,66.5,181.1,Teacher,64787.4,LI37822206,Indexed Universal,2020-05-22,2093-05-04,510000.0,88.13,Monthly,1923.65,15.0,Active,Preferred,Approved,Pamela,Johnson,Sibling,Primary,19.0,2650 Dudley Haven Suite 741,South Alexishaven,MN,92398,001-953-788-7559,briancummings@example.net,2022-10-09,88.13,Credit Card,Pending,CC-24927499,2022-10-09,0.0,Customer Service
Selena,Hopkins,1954-01-09,F,0396 Clark Corners Apt. 614,Archerhaven,HI,35275,+1-355-869-6443x09859,yknight@example.com,Y,64.0,164.3,Driver,58615.32,LI82959514,Indexed Universal,2020-05-22,2049-05-15,320000.0,2496.0,Semi-annually,7092.89,15.0,Active,Substandard,Approved,Tyler,Hopkins,Spouse,Primary,56.0,941 Jason Park,Alyssatown,MS,74987,001-932-289-4011x71303,qgarcia@example.com,2023-11-03,2496.0,Bank Transfer,Completed,ACH-50465812,2023-11-03,0.0,Agent
Brittany,Evans,1987-12-23,F,46273 David Harbor Suite 195,Cunninghamview,SC,90404,415.789.0429x0257,brianward@example.net,N,62.9,178.7,Manager,56461.59,LI07402024,Term,2016-05-23,2046-05-16,430000.0,15.48,Monthly,0.0,0.0,Active,Standard,Approved,Jeremy,Evans,Spouse,Primary,59.0,182 Davis Crest Apt. 318,Chaveztown,NJ,47048,001-814-845-6619,yparks@example.org,2019-02-10,15.48,Cash,Completed,CSH-08716509,2019-02-07,10.0,Customer Service
Lisa,Calhoun,2002-08-05,F,769 Taylor Course Suite 588,West Crystalview,VI,38373,+1-883-655-3935x435,carla39@example.org,N,65.4,172.6,Receptionist,49081.23,LI47059340,Whole Life,2023-05-22,2100-05-03,530000.0,114.48,Monthly,574.14,18.0,Active,Preferred,Approved,Joseph,Calhoun,Spouse,Primary,100.0,769 Taylor Course Suite 588,West Crystalview,VI,38373,807-201-7744,kennethhansen@example.com,2023-06-21,114.48,Credit Card,Completed,CC-78015224,2023-06-21,0.0,Agent
Edward,Johnson,1951-12-26,M,086 Gregory Place Apt. 227,Orozcostad,NH,90808,+1-338-897-0155x029,morgandana@example.com,N,66.0,185.0,Construction Worker,37152.92,LI29364933,Indexed Universal,2015-05-24,2041-05-17,370000.0,499.5,Monthly,15917.04,10.0,Active,Substandard,Approved,Tara,Johnson,Spouse,Primary,63.0,19768 John Lake,North Jonathanstad,CO,87876,930-230-7661,gwarner@example.com,2019-07-02,499.5,Credit Card,Completed,CC-37489439,2019-07-02,0.0,Agent
Robert,Allen,1949-09-27,M,876 Nathaniel Stravenue Suite 576,Victormouth,MO,77417,001-845-835-3659x746,jordanrebecca@example.org,N,69.6,211.4,Manager,27866.66,LI46812215,Indexed Universal,2017-05-23,2041-05-17,240000.0,216.0,Monthly,6093.4,12.0,Active,Standard,Approved,Timothy,Jones,Parent,Primary,38.0,130 Harris Haven Suite 396,Lake Lisatown,LA,67994,9887057498,kimberly02@example.com,2019-07-12,216.0,Check,Completed,CHK-51745280,2019-07-12,0.0,Auto-Payment
Emily,Cohen,1954-08-06,F,20175 Richardson Groves,South Joshuafort,RI,18521,+1-910-646-6275x01526,george03@example.net,Y,64.0,160.0,Lawyer,202225.17,LI98319600,Term,2019-05-23,2049-05-15,1620000.0,546.75,Quarterly,0.0,0.0,Active,Standard,Approved,John,Cohen,Sibling,Primary,100.0,167 Perez Turnpike Apt. 182,Hernandezshire,PR,55329,634.975.3178x416,joan09@example.org,2019-11-18,546.75,Check,Completed,CHK-10191123,2019-11-19,0.0,System
Cody,Harris,1946-08-03,M,1990 Williams Island,West Alanstad,WV,37516,(483)256-5215x6818,cwoods@example.com,N,68.5,193.6,Retail Associate,46836.12,LI02370646,Indexed Universal,2016-05-23,2037-05-18,440000.0,316.8,Monthly,10223.07,11.0,Active,Preferred,Approved,Jose,Harris,Child,Primary,84.0,09251 Christine Avenue,New Haley,AZ,08892,001-414-574-7299x0555,sgordon@example.net,2017-04-18,316.8,Cash,Completed,CSH-54472549,2017-04-18,0.0,System
Thomas,Bradley,1945-07-30,M,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,(995)459-6363,njackson@example.net,N,66.7,156.4,Nurse,66823.61,LI89861791,Universal,2015-05-24,2035-05-19,590000.0,318.6,Monthly,14630.78,10.0,Active,Preferred,Approved,Jamie,Bradley,Child,Primary,52.0,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,(747)600-4295,kdodson@example.org,2021-10-19,318.6,Cash,Completed,CSH-26071653,2021-10-19,0.0,Agent
Rachel,Chandler,1982-10-19,F,52229 Joyce Extension,Lake Ronaldmouth,TN,77201,743-588-2325,lukecase@example.com,N,64.0,173.3,Graphic Designer,36770.21,LI97788770,Variable,2016-05-23,2073-05-09,210000.0,99.22,Monthly,4390.64,11.0,Active,Substandard,Approved,Kenneth,Hernandez,Parent,Primary,49.0,32302 Daniel Stravenue,South Diana,MH,52752,7172385555,cody81@example.net,2021-06-26,99.22,Bank Transfer,Completed,ACH-67344464,2021-06-26,0.0,System
Brittany,Evans,1987-12-23,F,46273 David Harbor Suite 195,Cunninghamview,SC,90404,415.789.0429x0257,brianward@example.net,N,62.9,178.7,Manager,56461.59,LI07402024,Term,2016-05-23,2046-05-16,430000.0,15.48,Monthly,0.0,0.0,Active,Standard,Approved,Jeremy,Evans,Spouse,Primary,59.0,182 Davis Crest Apt. 318,Chaveztown,NJ,47048,001-814-845-6619,yparks@example.org,2024-04-11,15.48,Credit Card,Completed,CC-21511157,2024-04-11,0.0,Auto-Payment
Justin,Wood,1972-12-01,M,013 Jose Land Apt. 935,Port Denisetown,CA,14693,246-617-5808x03889,danielle04@example.org,N,69.7,168.6,Attorney,290523.1,LI07123131,Whole Life,2017-05-23,2064-05-11,1390000.0,1688.85,Quarterly,19219.95,12.0,Active,Preferred Plus,Approved,Tanya,Weber,Parent,Primary,100.0,76269 Ford Extensions Apt. 576,Martinmouth,MH,09157,765-599-8314x309,curtisray@example.org,2025-01-11,1688.85,Check,Completed,CHK-04910215,2025-01-11,0.0,System
Robert,Morrow,1976-06-25,M,14351 Jenny Locks Suite 902,Gonzalesborough,PR,86600,443.309.8839x20530,kimberly56@example.com,N,63.0,170.9,Civil Engineer,35857.77,LI58167726,Indexed Universal,2021-05-22,2072-05-09,230000.0,66.24,Monthly,794.7,16.0,Active,Preferred,Approved,Morrow Family,Trust,Trust,Primary,100.0,7774 Samuel Estate Apt. 238,Zacharymouth,MN,50765,991-589-8755,jessicacervantes@example.org,2024-09-03,66.24,Cash,Completed,CSH-95109366,2024-09-03,0.0,Agent
David,Coleman,1978-05-08,M,994 Kelly Shores Suite 784,Port Shawn,DE,33359,773.420.1017x0269,christy11@example.net,N,71.8,201.5,Graphic Designer,52718.47,LI08698772,Variable,2018-05-23,2071-05-10,360000.0,393.12,Semi-annually,2383.07,13.0,Active,Preferred Plus,Approved,Sarah,Coleman,Sibling,Primary,100.0,71379 Smith Burgs Suite 382,Port Gregoryberg,SD,29730,+1-796-857-5376x44512,sheilahernandez@example.net,2025-04-16,393.12,Check,Completed,CHK-32495308,2025-04-16,0.0,Auto-Payment
Laura,Hill,2003-07-08,F,5274 Andrea Ville,Escobarstad,DE,91189,7856738385,stephanie46@example.org,N,64.9,156.0,Police Officer,39808.36,LI78438189,Whole Life,2015-05-24,2093-05-04,340000.0,530.4,Semi-annually,3930.23,10.0,Active,Standard,Approved,Taylor,Hill,Sibling,Primary,100.0,318 Emily Brook,Port Christopher,VT,64998,420.983.6162,thomas11@example.org,2016-11-12,530.4,Bank Transfer,Completed,ACH-06583354,2016-11-14,0.0,System
Kyle,Ware,1954-12-21,M,014 Stanley Oval,Perryborough,WV,67655,256-514-9784,djoyce@example.org,N,68.8,208.5,Police Officer,39089.07,LI67507644,Indexed Universal,2015-05-24,2044-05-16,180000.0,729.0,Quarterly,13789.95,10.0,Active,Substandard,Approved,Ware Family,Trust,Trust,Primary,100.0,98189 Christina Row,North Joshua,NJ,29969,8453194558,oclayton@example.com,2016-02-18,729.0,Bank Transfer,Completed,ACH-58405928,2016-02-18,0.0,Auto-Payment
Christopher,Ward,1959-08-24,M,23705 Mcdonald Plaza,New Nicole,CA,41040,(778)466-9125x1778,katrinaanderson@example.net,Y,65.7,178.0,Retail Associate,38432.95,LI44581574,Term,2019-05-23,2034-05-19,380000.0,42.75,Monthly,0.0,0.0,Active,Standard,Approved,Ward Family,Trust,Trust,Primary,100.0,32735 Wilson Lakes,Vanceburgh,CA,20725,300.785.7895,donaldtorres@example.com,2021-08-10,42.75,Cash,Completed,CSH-53150013,2021-08-10,0.0,Customer Service
Robert,Bruce,1996-08-10,M,402 Park Inlet,Michaelburgh,VI,19277,001-861-920-1836,eric45@example.net,N,65.5,148.8,Driver,31133.55,LI20056438,Term,2016-05-23,2031-05-20,440000.0,9.5,Monthly,0.0,0.0,Active,Preferred,Approved,James,Bruce,Child,Primary,100.0,402 Park Inlet,Michaelburgh,VI,19277,001-718-398-9878x77677,vincentmarshall@example.org,2022-11-18,9.5,Check,Completed,CHK-72439582,2022-11-18,0.0,Auto-Payment
Laura,Hill,2003-07-08,F,5274 Andrea Ville,Escobarstad,DE,91189,7856738385,stephanie46@example.org,N,64.9,156.0,Police Officer,39808.36,LI78438189,Whole Life,2015-05-24,2093-05-04,340000.0,530.4,Semi-annually,3930.23,10.0,Active,Standard,Approved,Taylor,Hill,Sibling,Primary,100.0,318 Emily Brook,Port Christopher,VT,64998,420.983.6162,thomas11@example.org,2024-10-01,530.4,Cash,Completed,CSH-63137042,2024-10-03,0.0,Auto-Payment
Michelle,Mitchell,1956-04-26,F,31059 Scott Land,East Anna,AZ,87736,952-757-8284x10672,adamrodgers@example.net,Y,65.8,145.0,Consultant,39540.64,LI22741191,Variable,2019-05-23,2050-05-15,460000.0,869.4,Quarterly,6348.2,14.0,Active,Preferred,Approved,Mitchell Family,Trust,Trust,Primary,18.0,910 Day Mountains Apt. 584,West Erika,MI,50164,(212)834-3440x708,charlesgross@example.net,2022-05-07,869.4,Cash,Completed,CSH-67453930,2022-05-07,0.0,System
Robert,Smith,1962-02-22,M,40061 Marshall Drive,Garrettside,GA,78337,451.747.4397x429,martinezmindy@example.net,N,70.0,204.7,Police Officer,30272.6,LI28820885,Whole Life,2021-05-22,2058-05-13,210000.0,189.0,Monthly,2706.07,16.0,Active,Preferred,Approved,Bonnie,Atkins,Parent,Primary,63.0,297 David Terrace Apt. 187,New Natashabury,IL,40159,001-745-839-7508x29038,huberangela@example.com,2024-06-05,189.0,Cash,Completed,CSH-11469238,2024-06-05,0.0,Auto-Payment
Thomas,Valentine,1968-04-26,M,28703 Dustin Cape Suite 485,Mossview,AS,25584,+1-471-229-5145,erica80@example.net,Y,68.4,142.5,Doctor,169489.84,LI47684440,Variable,2016-05-23,2059-05-13,1990000.0,940.27,Monthly,43843.51,11.0,Paid-up,Standard,Approved,Destiny,Valentine,Spouse,Primary,70.0,6389 Donald Inlet Apt. 144,Duncanmouth,SC,65214,+1-435-980-5416x3189,benjamin06@example.net,2018-05-13,940.27,Check,Completed,CHK-99586939,2018-05-13,0.0,Auto-Payment
Robert,Bruce,1996-08-10,M,402 Park Inlet,Michaelburgh,VI,19277,001-861-920-1836,eric45@example.net,N,65.5,148.8,Driver,31133.55,LI20056438,Term,2016-05-23,2031-05-20,440000.0,9.5,Monthly,0.0,0.0,Active,Preferred,Approved,James,Bruce,Child,Primary,100.0,402 Park Inlet,Michaelburgh,VI,19277,001-718-398-9878x77677,vincentmarshall@example.org,2022-08-30,9.5,Credit Card,Completed,CC-51591656,2022-08-20,10.0,Auto-Payment
Steve,Brown,1962-04-26,M,43502 Amanda Turnpike,Staceyburgh,GA,73781,+1-446-565-2752x332,taylordennis@example.com,Y,70.2,221.3,Financial Analyst,36888.89,LI39592557,Indexed Universal,2017-05-23,2054-05-14,370000.0,266.4,Monthly,4999.47,12.0,Active,Preferred,Approved,Kyle,Brown,Child,Primary,100.0,43502 Amanda Turnpike,Staceyburgh,GA,73781,3459141468,karen10@example.net,2022-11-23,266.4,Cash,Completed,CSH-15160558,2022-11-23,0.0,Agent
Nicholas,Henry,1972-09-06,M,567 Davidson Radial Apt. 601,Frederickburgh,ID,57687,758-275-0663x370,josegibson@example.net,N,69.6,202.9,Sales Representative,47182.11,LI15345922,Whole Life,2015-05-24,2062-05-12,460000.0,310.5,Monthly,13318.53,10.0,Active,Standard,Approved,Natasha,Reed,Parent,Primary,100.0,337 Kevin Overpass,Duanestad,AK,60513,938-920-3950x0786,matthew05@example.org,2020-10-21,310.5,Check,Completed,CHK-93798045,2020-10-24,0.0,System
Amanda,Young,1951-10-25,F,718 Joel Islands,Mariachester,CA,84634,(442)705-9556x57490,carteredward@example.net,Y,67.6,175.5,Office Manager,34455.63,LI77010074,Term,2022-05-22,2052-05-14,360000.0,351.0,Semi-annually,0.0,0.0,Active,Substandard,Approved,Eduardo,Young,Child,Primary,76.0,718 Joel Islands,Mariachester,CA,84634,+1-471-489-7621x7794,johnsondale@example.org,2024-05-13,351.0,Check,Completed,CHK-36369452,2024-05-11,17.55,Auto-Payment
Alexandra,Page,1973-05-09,F,6761 Ethan Point,Jessicaburgh,IL,27763,4084056308,virginia82@example.net,N,63.1,171.6,Designer,58577.8,LI04574057,Variable,2017-05-23,2065-05-11,700000.0,264.6,Monthly,8435.48,12.0,Active,Preferred,Approved,Jacob,Page,Sibling,Primary,30.0,1634 Wilson Coves Apt. 612,Loriborough,NE,03919,927-882-7091,martinsarah@example.com,2019-02-12,264.6,Bank Transfer,Completed,ACH-25758271,2019-02-12,0.0,Customer Service
Kevin,Marshall,1986-08-27,M,7766 Ballard Island Suite 602,Hallland,MI,11303,588-781-4311x1508,emilywright@example.net,Y,69.4,186.4,Engineer,131988.0,LI08838497,Variable,2021-05-22,2082-05-07,1460000.0,1103.76,Quarterly,7243.85,16.0,Active,Standard,Approved,Kelly,Marshall,Child,Primary,77.0,764 Rachel Plain Suite 795,South Cesar,KY,00956,+1-530-870-9063,andersonstacy@example.org,2021-11-26,1103.76,Cash,Completed,CSH-67945136,2021-11-18,55.19,Agent
Frederick,Brown,1968-10-11,M,2386 George Common Suite 937,East Steven,KS,60737,607-948-2175x946,james67@example.org,Y,68.0,200.6,Customer Service Representative,47527.38,LI72938537,Universal,2022-05-22,2065-05-11,340000.0,137.7,Monthly,1105.94,17.0,Active,Standard,Approved,Robyn,Brown,Spouse,Primary,100.0,2386 George Common Suite 937,East Steven,KS,60737,(269)393-9142x652,lorijohnson@example.com,2025-03-07,137.7,Check,Completed,CHK-94055575,2025-03-07,0.0,System
Taylor,Gonzales,1975-08-30,F,9198 David Cliffs Apt. 291,Flemingland,NJ,39630,(390)829-8310x4384,kmartin@example.org,N,61.2,146.5,Customer Service Representative,41290.29,LI80773966,Universal,2020-05-22,2070-05-10,540000.0,131.22,Monthly,1854.03,15.0,Active,Preferred Plus,Approved,Julian,Gonzales,Child,Primary,100.0,0857 Torres Union Apt. 363,West David,WI,56998,(822)871-9217x3665,mhall@example.org,2021-11-13,131.22,Bank Transfer,Completed,ACH-95757129,2021-11-13,0.0,System
Andrew,Cook,1954-11-05,M,963 Casey Hill Apt. 574,West Monica,FL,55639,606.548.6067x39834,tammy53@example.com,N,68.6,163.9,Dentist,203386.96,LI81530420,Indexed Universal,2018-05-23,2047-05-16,1690000.0,2281.5,Monthly,46497.93,13.0,Active,Substandard,Approved,Tamara,Cook,Spouse,Primary,100.0,8577 Barnes Bypass,Maryberg,AK,98765,001-611-286-6827x263,deleonamy@example.com,2024-09-15,2281.5,Cash,Completed,CSH-45621468,2024-09-18,0.0,System
Thomas,Bradley,1945-07-30,M,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,(995)459-6363,njackson@example.net,N,66.7,156.4,Nurse,66823.61,LI89861791,Universal,2015-05-24,2035-05-19,590000.0,318.6,Monthly,14630.78,10.0,Active,Preferred,Approved,Jamie,Bradley,Child,Primary,52.0,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,(747)600-4295,kdodson@example.org,2015-11-20,318.6,Credit Card,Completed,CC-48492349,2015-11-20,0.0,System
Michelle,Gregory,1980-08-24,F,9513 Miller Lock Apt. 411,West Daniel,FL,65555,(738)804-6827,brojas@example.com,N,61.9,136.5,Graphic Designer,61870.19,LI12396586,Universal,2015-05-24,2070-05-10,770000.0,498.96,Quarterly,5468.92,10.0,Active,Preferred,Approved,Shane,Gregory,Spouse,Primary,26.0,4300 Thomas Path Suite 627,Michelleburgh,AS,01057,+1-452-325-8987x3073,xbraun@example.com,2018-05-08,498.96,Credit Card,Completed,CC-89715999,2018-05-08,0.0,Customer Service
David,Soto,1953-07-03,M,1485 Merritt Points,New Michael,GA,90898,425-320-7882x16511,marilyn57@example.com,N,68.3,205.4,Lab Technician,36535.1,LI90687248,Variable,2015-05-24,2043-05-17,290000.0,182.7,Monthly,10318.47,10.0,Active,Preferred,Approved,Jesse,Soto,Sibling,Primary,14.0,36739 Pham Mews,Franklinmouth,OH,59446,001-300-917-4538x8322,aaron82@example.org,2019-10-30,182.7,Check,Completed,CHK-68758605,2019-10-30,0.0,Auto-Payment
Eric,Miranda,1976-06-30,M,493 Mario Fields,Floydburgh,RI,87348,(958)679-6434,dustin55@example.net,N,73.7,217.4,Marketing Specialist,67627.52,LI45504922,Term,2016-05-23,2046-05-16,790000.0,21.33,Monthly,0.0,0.0,Active,Preferred Plus,Approved,Miranda Family,Trust,Trust,Primary,100.0,49800 Ramos Spur,Lisamouth,MN,59044,+1-573-843-2823x91321,ucarpenter@example.com,2022-08-20,21.33,Check,Completed,CHK-79988976,2022-08-20,0.0,Agent
Tanner,Phillips,1950-04-26,M,613 Christopher Row Suite 530,West Jeffreyborough,AR,40780,607-778-1109x6598,stephen63@example.net,N,66.3,180.2,Nurse,64226.11,LI07145033,Whole Life,2015-05-24,2040-05-17,310000.0,279.0,Monthly,11661.71,10.0,Active,Preferred,Approved,Jerry,Phillips,Sibling,Primary,100.0,483 Hill Land Suite 726,West April,MN,44510,+1-800-823-0972x96782,armstrongderrick@example.net,2016-06-17,279.0,Credit Card,Completed,CC-26477326,2016-06-17,0.0,System
Alexa,Buck,1988-06-09,F,034 Marquez Station,Rodneyfurt,PR,46207,743.674.8969x108,gabrielle71@example.com,Y,68.8,202.3,Business Analyst,67874.54,LI02650540,Variable,2018-05-23,2081-05-07,640000.0,129.02,Monthly,4766.77,13.0,Paid-up,Preferred,Approved,Scott,Frazier,Parent,Primary,100.0,01663 Reynolds Terrace,New Joshua,MP,42202,314-308-5796x2295,dixonalison@example.org,2023-09-21,129.02,Bank Transfer,Completed,ACH-50291798,2023-09-24,0.0,Customer Service
Richard,Frost,1991-02-12,M,09001 Davila Stravenue Suite 463,East Christine,OK,99031,585-232-0895x326,christopheryang@example.com,Y,73.9,190.3,Chef,48925.04,LI07319676,Universal,2021-05-22,2087-05-06,290000.0,50.11,Monthly,472.36,16.0,Active,Preferred,Approved,Robin,Frost,Spouse,Primary,57.0,044 Jeffery Lakes,New Ambershire,OR,32143,809-760-0876x848,adrienne42@example.org,2025-04-01,50.11,Check,Completed,CHK-70471750,2025-04-01,0.0,System
Brian,Perry,1977-12-25,M,38005 Kelly Estate Apt. 801,Ryanbury,DE,74161,374.255.0842,wlloyd@example.org,N,71.4,182.7,Software Developer,92372.85,LI68920648,Variable,2021-05-22,2073-05-09,1070000.0,808.92,Quarterly,3736.41,16.0,Active,Preferred,Approved,Carrie,Perry,Sibling,Primary,100.0,0198 Janice Pass Apt. 435,West Nancy,SC,34861,(356)528-6078,tanya75@example.org,2021-11-18,808.92,Cash,Completed,CSH-82692215,2021-11-18,0.0,Customer Service
Robert,Hamilton,1976-06-24,M,7140 Mark Wall,New Mario,VT,64792,(226)848-1638x49368,marcusbell@example.org,Y,66.1,158.3,Office Manager,50490.48,LI88914715,Indexed Universal,2018-05-23,2069-05-10,590000.0,212.4,Monthly,4464.46,13.0,Paid-up,Standard,Approved,Jodi,Hamilton,Sibling,Primary,100.0,7545 Todd Stream,Sarahfurt,NY,86768,(980)947-7900x13885,lanemelissa@example.org,2020-08-10,212.4,Credit Card,Completed,CC-42970554,2020-08-10,0.0,Customer Service
Alyssa,Chandler,1971-12-25,F,7187 Sanders Crossroad Apt. 636,Angelfurt,FM,84371,(876)929-2266,hudsongwendolyn@example.com,N,68.0,201.3,Real Estate Agent,69412.35,LI37612919,Term,2017-05-23,2047-05-16,900000.0,36.45,Monthly,0.0,0.0,Active,Preferred Plus,Approved,Tina,Chandler,Child,Primary,87.0,2050 Justin Via,West Blakeborough,VT,92278,750-437-3509x2692,xjones@example.org,2023-05-22,36.45,Check,Completed,CHK-25298274,2023-05-22,0.0,Customer Service
Tiffany,Nielsen,1944-06-04,F,0154 Brian Wells Apt. 171,East Donna,OH,22144,989-363-8346x578,jeffreymorgan@example.net,Y,62.6,173.7,Designer,49455.44,LI01560994,Variable,2022-05-22,2041-05-17,470000.0,888.3,Quarterly,2437.51,17.0,Lapsed,Preferred,Approved,,,,,,,,,,,,2022-11-21,888.3,Cash,Failed,CSH-50509594,2022-11-18,0.0,Agent
