FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,CreditScore,MaritalStatus,DriverLicenseNumber,Make,Model,Year,VIN,Color,VehicleType,EstimatedValue,AnnualMileage,PolicyNumber,EffectiveDate,ExpirationDate,PremiumAmount,CoverageType,Deductible,LiabilityLimit,ComprehensiveCoverage,CollisionCoverage,UninsuredMotoristCoverage,ClaimNumber,DateOfIncident,DateReported,IncidentDescription,IncidentLocation,ClaimAmount,SettlementAmount,ClaimStatus,FaultFlag
Miguel,Rice,1968-02-06,M,146 Wilson Road Suite 760,West Jessica,OK,62005,628,D,OK07390643,Kia,Sportage,2006,PE74ADD0GN7RVXQ51,Brown,Luxury,2000,12022,P683387274,2023-05-22,2024-05-21,100.8,Standard,2000,250000,0,0,1,,,,,,,,,
Valerie,Nielsen,1943-08-07,F,01759 Sandra Islands Apt. 762,East Johnny,RI,57846,779,M,RI02132293,Buick,LaCrosse,2011,2QSZO1I736MV3T0KG,Blue,Convertible,12956,15905,P406199969,2023-05-22,2026-05-21,298.51,Basic,500,25000,1,1,1,,,,,,,,,
John,Benjamin,1996-01-14,M,319 Duran Road Suite 911,North Nicholasland,AR,17217,790,W,AR63760133,Chevrolet,Tahoe,2014,6K33UFEVSTYGX8860,Orange,Van,21293,19229,P599239743,2023-05-22,2025-05-21,408.83,Basic,500,250000,0,1,0,,,,,,,,,
Kelly,Lopez,1968-03-01,F,4886 Gross Terrace Apt. 195,West Kaitlyn,GA,98580,751,S,GA10733092,Kia,Optima,2017,ZVNASJP0ESUSWIY7K,Orange,SUV,9112,13074,P605336512,2023-05-22,2024-05-21,312.72,Premium,500,100000,1,0,0,,,,,,,,,
Keith,Serrano,1947-11-28,M,9294 Peterson Crest,South Robertberg,ND,76000,435,M,ND50043433,Toyota,Corolla,2010,H3TT255KCMG2K87BS,Yellow,Sports Car,12275,21175,P486489271,2022-05-22,2023-05-22,742.39,Standard,1000,250000,0,1,1,,,,,,,,,
Shannon,Richards,1953-01-31,F,50166 Mclaughlin Ranch Suite 076,Palmerfort,LA,30897,836,M,LA71154616,Kia,Optima,2009,B8X6JMRE2U7FMKGZB,Orange,Sports Car,14132,5755,P122460958,2023-05-22,2024-05-21,569.8,Standard,1000,50000,1,0,0,,,,,,,,,
Tiffany,Montgomery,1971-09-12,F,57399 Susan Springs,Patrickville,OH,51078,705,D,OH19262391,Buick,Verano,2020,J49TO5A7QNAABMOYD,Black,Luxury,31863,11661,P256535725,2022-05-22,2025-05-21,1739.72,Premium,2000,100000,1,1,1,,,,,,,,,
Jennifer,Perez,1985-05-14,F,243 Elizabeth Mountains Suite 464,Williamhaven,MN,66720,750,D,MN16160106,Kia,Sportage,2022,F850W2XWB1GQC4C1U,Orange,Truck,16215,11719,P651079707,2024-05-21,2027-05-21,535.1,Standard,2000,250000,1,1,1,,,,,,,,,
Christine,Wright,1946-05-18,F,232 Nicole Burg Apt. 563,Erikville,MI,50641,843,M,MI20703049,Subaru,WRX,2016,6Q5GQQLYZJ0AEOORB,Blue,Sports Car,7383,21785,P017175933,2024-05-21,2027-05-21,297.68,Standard,250,250000,0,1,1,,,,,,,,,
Christine,Wright,1946-05-18,F,232 Nicole Burg Apt. 563,Erikville,MI,50641,843,M,MI20703049,Toyota,Tacoma,2018,985LTKMCCDUEFS4UQ,Red,Van,6362,19121,P886369595,2023-05-22,2025-05-21,146.58,Basic,2000,500000,1,1,0,,,,,,,,,
Oscar,Fleming,1958-09-14,M,896 Willis Stravenue Suite 273,Colemouth,ME,94789,353,M,ME90811838,Toyota,Prius,2024,G1IPJJ9R518ML948U,Gold,Luxury,38245,7760,P503803747,2024-05-21,2027-05-21,3006.97,Premium,500,500000,0,1,0,C09793239,2025-01-18,2025-02-02,Fire damage,"62027 Gomez Ferry, West Stevenmouth, FM",3396.72,,Open,0.0
Sharon,Bradshaw,2004-09-19,F,2019 Darren Light Suite 122,North Christinaton,NH,59023,815,D,NH15946623,Hyundai,Tucson,2015,1XIJBW4SE9DN1NZIH,Gray,Truck,14034,7141,P740095496,2024-05-21,2025-05-21,722.47,Premium,2000,1000000,0,0,1,,,,,,,,,
Lisa,Pearson,1957-12-07,F,1496 Mejia Summit Apt. 938,Ericaburgh,MA,41561,416,W,MA49669639,Mercedes,GLA,2007,KBH423L90MCZH7827,Gold,SUV,4919,18085,P681681779,2024-05-21,2026-05-21,257.13,Custom,500,50000,0,0,1,,,,,,,,,
Karen,Holt,1998-07-03,F,9956 Miller Dale Apt. 310,Port Anthony,TN,63561,702,W,TN05353616,Hyundai,Santa Fe,2010,DVNQ49440DCLQGDD0,White,SUV,5366,13174,P472552295,2023-05-22,2024-05-21,177.08,Standard,250,1000000,0,0,1,,,,,,,,,
Kathleen,Brady,1993-03-06,F,806 Faith Turnpike Apt. 504,Lake Patriciastad,SD,99534,706,M,SD04335129,Ford,Edge,2021,VNSOJ9UHGV9M58TGT,White,Sports Car,40672,18455,P903093738,2024-05-21,2027-05-21,2220.69,Premium,250,100000,0,1,0,,,,,,,,,
Allison,Munoz,1944-08-28,F,186 Mark Corners,Reginaview,KY,19680,392,S,KY25079126,Hyundai,Kona,2007,8FTLT7PA46IW7UV48,Gold,Hatchback,2299,6041,P190147338,2024-05-21,2026-05-21,79.45,Basic,1000,1000000,1,1,1,,,,,,,,,
Bryan,Hill,1969-04-02,M,4913 Thomas Ford,North Carmen,IN,05710,359,D,IN20341630,Ford,Edge,2025,36I6QGCMRRKAL94PE,Orange,Truck,28843,22668,P600442544,2022-05-22,2023-05-22,1256.4,Custom,2000,100000,0,1,0,C52295531,2022-11-23,2022-12-13,Flood damage,"85201 Kim Extensions Suite 084, Perezfort, TN",13157.89,,Open,0.0
Laura,Cunningham,2005-12-05,F,891 Stanley Gateway Suite 562,North Dawnburgh,TN,66766,568,W,TN78018134,Ford,Edge,2020,PKQGBHLFT2NBFU7PM,Gray,Wagon,20302,10225,P135078030,2022-05-22,2023-05-22,1425.2,Premium,2000,1000000,0,1,1,,,,,,,,,
Ariel,Davies,1944-12-26,F,26714 Gilbert Pine,Port Cheyenneberg,AZ,09013,837,M,AZ54218598,Kia,Seltos,2024,154MAPHAYIBUSA0WQ,Orange,Hatchback,41636,9663,P495393693,2024-05-21,2027-05-21,1199.12,Standard,2000,500000,0,1,0,,,,,,,,,
Randy,Williams,1963-05-31,M,92842 Mary Square Apt. 231,West Autumnmouth,LA,34633,848,W,LA32841452,Subaru,Impreza,2017,DM6Z6XTB80U10KWCC,Green,Van,5511,16421,P832871409,2022-05-22,2024-05-21,132.26,Standard,1000,50000,0,0,1,,,,,,,,,
Guy,Chavez,1960-04-01,M,35182 Javier Orchard,Jennyhaven,KS,78723,830,W,KS60771419,Hyundai,Tucson,2010,S3QW752E77DYVGDGF,Yellow,Luxury,10166,19898,P685909252,2022-05-22,2023-05-22,273.26,Basic,2000,500000,1,0,0,,,,,,,,,
Virginia,Rodriguez,1971-10-03,F,729 Larry Mountains Suite 258,Summerville,NH,63125,690,W,NH06897663,Buick,Enclave,2015,46STJGK4MB4EZBN8H,Beige,Sports Car,36057,19159,P403155391,2022-05-22,2024-05-21,1968.71,Premium,2000,250000,1,0,1,,,,,,,,,
James,Carey,1947-08-13,M,99378 Avery Grove,West Stevenchester,AR,09080,671,S,AR26977114,Tesla,Model Y,2015,4RMJU1ZE50K61FTGU,Orange,Convertible,19317,24100,P158669535,2023-05-22,2025-05-21,695.41,Standard,2000,500000,0,0,1,,,,,,,,,
Christina,Soto,1957-09-18,F,598 Robert Drives,Victoriachester,SC,50169,400,W,SC90470547,Chrysler,Sebring,2007,MVW5OXIO25NA8KY60,Gray,Hatchback,3773,12479,P494384913,2023-05-22,2024-05-21,130.39,Basic,250,500000,0,0,0,,,,,,,,,
Renee,Smith,1998-08-16,F,209 Misty Harbors Apt. 579,Robertsonborough,UT,00911,693,M,UT59047610,Subaru,WRX,2008,KQJYG8IRCPW5VZLMQ,Black,Sedan,2212,6204,P739532443,2022-05-22,2023-05-22,86.27,Premium,500,25000,1,1,1,C98269709,2022-11-26,2022-12-10,Backing accident in parking lot,"21320 Vaughn Cape Suite 294, Port Teresa, LA",956.19,,Under Investigation,0.0
Antonio,Weeks,1957-12-24,M,653 Williams Streets Apt. 416,Port Donaldside,PA,37130,787,W,PA62485082,BMW,X7,2007,XRIIGUP30L1R99M2K,Beige,SUV,4794,6415,P986665012,2024-05-21,2025-05-21,197.44,Premium,1000,1000000,0,1,1,,,,,,,,,
Donna,Hanson,2003-05-12,F,633 Susan Port,Davistown,NE,19194,332,W,NE72642385,Mazda,MX-5 Miata,2012,L1GEJ7AW3IXIEZEV5,Orange,Luxury,11944,13458,P999863166,2023-05-22,2026-05-21,1173.86,Premium,2000,100000,1,1,1,,,,,,,,,
Julia,Johnson,1977-04-07,F,276 Larry Loaf Suite 197,Alvarezburgh,TN,66913,573,W,TN46490336,Ford,Edge,2014,XCN3ON4FG0DJQ1PQV,Red,SUV,6599,15853,P365794172,2022-05-22,2025-05-21,261.32,Standard,1000,25000,0,0,1,C20104653,2023-01-08,2023-01-09,Theft of vehicle,"10801 Benjamin Burg Suite 831, Rossland, NM",3734.9,,Under Investigation,1.0
Richard,Graham,1992-12-17,M,19719 Nguyen Court,Thompsonfurt,MA,09624,580,W,MA36853997,Chrysler,Pacifica,2009,XPGWJX3BID6V1LK4A,Silver,Van,3506,15229,P240246468,2022-05-22,2023-05-22,138.84,Custom,2000,25000,0,0,0,,,,,,,,,
Todd,Hudson,1978-10-12,M,169 Donovan Ford,Johnfurt,PA,17655,662,W,PA78524406,Jeep,Liberty,2008,ZPXVW19JOJWLRKXJT,Brown,Convertible,3456,23391,P976831871,2022-05-22,2024-05-21,103.68,Standard,500,1000000,0,1,0,,,,,,,,,
Tiffany,Hopkins,2005-03-28,F,0373 Joseph Fort Apt. 385,Harrisonmouth,FL,06587,811,M,FL82075043,Kia,Soul,2020,P08IIO1Q3DZVWE8G3,Brown,Hatchback,4889,11104,P003095362,2022-05-22,2025-05-21,140.8,Basic,500,500000,0,0,1,,,,,,,,,
Todd,Wilson,2005-06-02,M,401 Reed Turnpike,Samuelhaven,KS,15658,607,W,KS45592723,Acura,TLX,2023,F1HGAV42T8LLIHKPJ,Silver,Van,25458,5894,P414772101,2023-05-22,2024-05-21,1099.79,Basic,1000,50000,0,1,0,C99570865,2024-01-28,2024-02-13,Backing accident in parking lot,"35434 Kyle Manor, Kelleyville, FL",14537.53,12689.96,Closed,1.0
Courtney,Petersen,1948-10-28,F,632 James Valleys Suite 800,Nicoleton,CT,15024,806,S,CT19150579,Volkswagen,Tiguan,2010,6IHRUJ9YCSRK5SLSB,Beige,Coupe,6651,15743,P287813800,2023-05-22,2025-05-21,191.55,Standard,500,250000,0,0,1,,,,,,,,,
Natalie,Watson,1958-06-08,F,0142 Bryant Union,North Samantha,MT,98052,432,W,MT61150848,Mercedes,GLA,2014,YW1V49TDYF12CHDAU,Gold,Sedan,6635,16720,P726995773,2022-05-22,2024-05-21,372.62,Premium,2000,25000,0,1,1,,,,,,,,,
Stephanie,Lopez,1963-04-22,F,49552 William Cliff,Port Belindatown,AK,69816,789,S,AK49922507,Audi,A3,2018,B5MBZGJZG8U6MQBIA,Black,Sedan,28367,11428,P372135618,2024-05-21,2025-05-21,544.65,Basic,2000,1000000,1,0,1,,,,,,,,,
Mark,Hunt,1992-04-05,M,61853 Stacy Road Apt. 329,Wigginsbury,CA,88758,445,D,CA25734062,Chrysler,Sebring,2012,U6O3LPO7381ONRPOJ,Blue,Hatchback,2824,23420,P372567533,2022-05-22,2024-05-21,81.33,Basic,2000,25000,0,1,0,,,,,,,,,
Jennifer,Parker,2006-07-20,F,11686 Quinn Extension Apt. 522,South Hunter,GA,14950,408,W,GA92361546,Dodge,Journey,2021,XT118QZB6UXQRKUW2,Gold,Coupe,18506,15244,P773998552,2023-05-22,2025-05-21,1099.26,Custom,2000,25000,1,1,1,,,,,,,,,
Mary,House,1965-10-03,F,004 Christine Tunnel Suite 359,Port Jenny,MT,25863,677,W,MT63077476,Jeep,Renegade,2014,8D9GX2HIVDTS8MG00,Blue,SUV,21398,20626,P553677106,2022-05-22,2025-05-21,776.75,Custom,250,1000000,1,1,1,,,,,,,,,
Dawn,Stevenson,1986-04-26,F,72094 Davis Field,East Alexandraton,SD,27728,509,M,SD51604909,Subaru,Ascent,2018,RII5CQKP9XCO59AVH,Gray,Van,6134,24100,P936316206,2022-05-22,2024-05-21,220.82,Standard,2000,100000,0,0,0,,,,,,,,,
Diane,Brewer,1957-05-12,F,4884 Rodriguez Throughway,South Adam,VI,67288,690,W,VI14577870,Mercedes,GLE,2018,0G6HQHUXKUP5GSU57,Orange,Luxury,14780,10860,P893184337,2024-05-21,2025-05-21,744.91,Standard,2000,250000,1,1,0,C81464289,2024-09-07,2024-10-06,Flood damage,"8824 Mark Forks, Alexanderville, NY",10933.78,8313.45,Closed,0.0
Kyle,Cobb,1975-02-22,M,91088 Ashley Drive Apt. 587,Lake Jamieshire,NV,64572,636,M,NV93661705,Dodge,Journey,2011,D8JQBO8WF8NK5G2ZN,Red,Sports Car,22397,11126,P856051655,2024-05-21,2025-05-21,903.05,Basic,500,1000000,0,1,0,,,,,,,,,
Jessica,Williams,1960-02-24,F,95493 Matthew Village Suite 601,Farleyport,AZ,70593,823,D,AZ05378552,Hyundai,Tucson,2016,V6RAJ6QH4MNYK922L,White,Hatchback,7726,15328,P351105455,2024-05-21,2026-05-21,185.42,Standard,500,100000,1,0,0,,,,,,,,,
Lisa,Ruiz,1972-02-28,F,9292 Jackson Spur,Sandrashire,GA,09524,719,S,GA39977571,Hyundai,Kona,2007,RAJIB931K26GFXAMH,Silver,Luxury,3402,7696,P356363480,2022-05-22,2023-05-22,157.17,Custom,500,500000,0,0,0,,,,,,,,,
Alyssa,Robles,1960-07-07,F,660 Erik Dale Apt. 448,Lake Melissa,NH,95197,578,D,NH27682065,Chrysler,300,2020,Y7I0YCM90F89VXG7N,White,Luxury,22070,14180,P202887680,2024-05-21,2025-05-21,889.86,Basic,2000,1000000,1,0,0,,,,,,,,,
Nathaniel,Garcia,1973-03-05,M,567 Harrington Wells,North Sarah,NY,03955,401,M,NY11237774,Acura,RDX,2024,QWFJRBNVL0OS3X23I,Yellow,SUV,45935,23203,P478087677,2022-05-22,2024-05-21,2364.73,Premium,250,100000,1,1,0,,,,,,,,,
Katelyn,Smith,1997-11-17,F,9416 Powers Course,Hahnberg,MH,31439,492,D,MH48126626,Mercedes,C-Class,2017,0YUCQEFRSATQV9OB3,Brown,SUV,35551,19686,P519576514,2022-05-22,2023-05-22,1407.82,Standard,500,25000,0,0,0,,,,,,,,,
Richard,Thomas,1976-02-28,M,687 Aaron Mountain,Deniseburgh,GA,00572,434,M,GA17437461,BMW,X7,2025,WVHQUEU1OQY4AKL7X,Yellow,Luxury,65215,19910,P165308384,2024-05-21,2025-05-21,4272.89,Premium,1000,500000,1,0,0,C29280802,2024-10-04,2024-10-27,Vandalism damage while parked,"73379 Laura Courts, North Christopher, AR",43147.18,,Open,0.0
James,Bradley,1980-07-23,M,5719 Alyssa Locks Suite 431,Lake Jacobhaven,FL,51224,326,M,FL75299571,Kia,Sorento,2007,B42O3Q825Q30ZX815,Red,Truck,2000,10379,P891146660,2023-05-22,2024-05-21,87.12,Custom,250,500000,1,1,1,,,,,,,,,
Heather,Marshall,1970-10-19,F,7722 Barnes Burg Apt. 562,Diazchester,MD,87240,450,D,MD69870091,Audi,Q3,2022,3MNA9TV4OEPC8TZV0,Silver,Sedan,32500,8673,P520534892,2022-05-22,2024-05-21,1521.0,Premium,250,100000,0,1,1,,,,,,,,,
David,Middleton,1947-04-11,M,2102 Frank Key,Garyberg,NH,98775,338,S,NH90871782,Volkswagen,Arteon,2018,6M9BJUDL3AF6KKFED,Gray,Convertible,30951,6034,P874369411,2024-05-21,2027-05-21,1337.08,Standard,1000,1000000,1,0,0,,,,,,,,,
Erica,Huang,1942-12-08,F,7548 John Lock Suite 675,Marymouth,DC,70059,666,D,DC74270349,Volkswagen,Passat,2018,WE9CZTARTGBJBI9ZA,Yellow,Sports Car,17788,14274,P047165921,2023-05-22,2026-05-21,896.52,Standard,2000,25000,1,1,1,,,,,,,,,
John,Bennett,2004-06-26,M,585 Bishop Fields Apt. 484,West Kellie,HI,92893,408,M,HI49194634,Hyundai,Palisade,2005,7R925DSIUAZ71UF09,Gray,Luxury,2000,14019,P092982866,2022-05-22,2024-05-21,166.32,Custom,250,25000,1,1,0,,,,,,,,,
Dan,Montoya,1961-10-24,M,71990 Zavala Mall,New Timothyberg,WV,35957,404,S,WV79448116,Lexus,LS,2007,Z2V17TZ63RRPNCSQC,White,Sedan,4474,22597,P079956032,2024-05-21,2025-05-21,161.06,Standard,250,50000,1,1,0,,,,,,,,,
Matthew,Love,1995-11-12,M,1537 Dylan Rue,Port Miguelchester,UT,50141,838,D,UT96346597,BMW,X7,2013,8XKEXNBTBCGTIJST7,Black,Luxury,26168,10337,P058126876,2022-05-22,2025-05-21,967.17,Custom,2000,1000000,1,1,1,,,,,,,,,
Jose,Trevino,2006-12-10,M,61620 April Crossing,East Samuel,VA,15399,410,W,VA60485632,Mazda,CX-3,2011,QEROJK7LCWQTHRGUE,Yellow,Luxury,8157,16852,P649478693,2022-05-22,2024-05-21,678.34,Custom,2000,500000,0,0,1,,,,,,,,,
Sean,Wood,2005-06-03,M,75633 Barker Well,Cynthiafort,NJ,37270,669,M,NJ32834119,Tesla,Model S,2023,EW4P220X3OBKJQ879,Gold,Coupe,6507,16646,P765374926,2024-05-21,2025-05-21,292.81,Standard,250,100000,0,0,1,,,,,,,,,
Amy,Mccullough,1987-05-24,F,1328 Kevin Plaza Apt. 152,East Hollymouth,RI,15474,840,M,RI46537902,Audi,Q5,2005,QE4X1UWR6V3CH1J8S,Beige,Sedan,2000,19493,P823742696,2022-05-22,2024-05-21,52.8,Custom,500,1000000,1,0,1,C20760030,2022-09-09,2022-09-21,Rear-end collision at intersection,"6794 Christina Trail, Romerohaven, NE",1258.2,,Open,0.0
Cory,Cruz,1977-08-07,M,7677 Christopher Burgs Apt. 404,New Keith,NY,60443,781,D,NY95923048,Kia,Forte,2014,UPMTXQ531D1KDK2YW,Beige,Truck,14631,5286,P204394367,2024-05-21,2025-05-21,386.26,Standard,1000,1000000,0,0,1,,,,,,,,,
Melanie,Gregory,1943-11-13,F,575 Wood Hills Suite 583,New George,OK,91054,406,D,OK55616383,Mazda,Mazda3,2016,7XP2KUGEORL0YB9C5,Blue,SUV,16414,6090,P466044411,2022-05-22,2023-05-22,857.99,Custom,500,25000,1,1,0,,,,,,,,,
Meredith,Scott,1964-04-24,F,37170 Grant Mall,Lauraton,IN,81363,610,D,IN83279808,Kia,Seltos,2011,2EX2JZ8K7ZOJ3E0QQ,Gold,Hatchback,11789,16862,P538457882,2024-05-21,2026-05-21,551.73,Premium,1000,500000,0,0,1,,,,,,,,,
David,Cruz,1946-10-09,M,862 Gregory Ridges,Port Amandaville,AK,12715,614,S,AK56603737,Jeep,Liberty,2021,YEQ96SJQA0PX99DBK,Green,Luxury,16272,7809,P701856773,2023-05-22,2026-05-21,1279.37,Premium,500,100000,1,0,0,,,,,,,,,
Michael,Holloway,1966-05-30,M,85899 Evans Coves,Brownview,OR,84465,698,D,OR72202371,Toyota,Tacoma,2005,U777LDM1VL7UO4G4I,Gray,Wagon,2000,9479,P841549982,2024-05-21,2027-05-21,66.0,Custom,250,1000000,1,0,0,,,,,,,,,
Crystal,Reed,1996-07-07,F,0641 Alyssa Freeway,Vasquezton,UT,19162,676,M,UT16987669,Honda,Civic,2022,ARSOZ9E5GV7P2A2Q9,Yellow,Hatchback,18906,10377,P886403923,2024-05-21,2027-05-21,567.18,Standard,500,25000,0,1,0,,,,,,,,,
Michael,Schneider,1946-10-22,M,52769 Heather Pine,Hoffmanberg,LA,99822,726,M,LA99781580,Jeep,Cherokee,2010,U6NNGNJYJIKWS9UVN,Gray,SUV,8538,15788,P064202866,2023-05-22,2025-05-21,439.54,Premium,1000,50000,0,1,0,,,,,,,,,
Matthew,Alexander,1970-09-26,M,6039 Andrew Isle,West Samanthatown,OK,96060,427,M,OK47387508,Acura,TLX,2007,W4O9HAXHF72BYNCS5,White,Sedan,2468,21430,P669263323,2022-05-22,2024-05-21,88.85,Standard,250,500000,1,1,0,,,,,,,,,
Elizabeth,Brooks,1961-04-14,F,8833 Gates Coves Apt. 325,Davidshire,NE,62088,567,W,NE72086666,Toyota,Tundra,2019,1WNGXAM7BPQJM7X1R,Beige,SUV,18222,19912,P858391529,2022-05-22,2023-05-22,577.27,Basic,2000,50000,0,0,1,,,,,,,,,
Brett,Sandoval,1957-07-09,M,96522 Brittany Valley,Robintown,ND,92703,522,S,ND05468204,Kia,Sportage,2018,TKFTUWFV2TTUSWETY,Blue,Wagon,29420,7380,P909942177,2022-05-22,2024-05-21,1270.94,Standard,250,100000,1,1,0,C85056490,2023-09-07,2023-09-18,Hit and run accident,"3362 Oneal Roads, Greenmouth, AR",20562.6,15058.41,Closed,0.0
Christopher,Hicks,1976-12-13,M,5326 Becky Vista Apt. 846,Arthurton,GU,74969,698,M,GU70818787,Subaru,Crosstrek,2021,W5259GMQ2P014X5DL,Gold,Sedan,39721,15429,P954991597,2024-05-21,2026-05-21,1191.63,Standard,1000,1000000,0,1,1,,,,,,,,,
Mary,Bryant,1962-07-30,F,75899 Moran Lakes,Wilsonbury,MN,00788,761,S,MN66695413,Buick,Enclave,2007,QB3KBWIFD8WZGL51R,Gold,Truck,2000,9656,P214477891,2023-05-22,2024-05-21,42.24,Basic,2000,1000000,0,1,0,,,,,,,,,
Donna,Hanson,2003-05-12,F,633 Susan Port,Davistown,NE,19194,332,W,NE72642385,BMW,X1,2008,2JZ2KB67RIZ2H4Q4V,Black,Luxury,3353,14952,P238270471,2022-05-22,2025-05-21,278.84,Custom,2000,25000,0,1,0,,,,,,,,,
Jose,Thomas,1995-11-10,M,81298 Phillip Islands Suite 027,South Christopher,SD,42978,410,S,SD36082509,Toyota,Prius,2012,V2TG2AHN110BS6TO8,Brown,Sedan,16890,19575,P164652300,2022-05-22,2024-05-21,486.43,Basic,500,500000,0,1,0,,,,,,,,,
Donald,Adams,1956-06-06,M,49542 Ford Mill,South Benjaminstad,WY,63442,305,W,WY82517945,Subaru,Ascent,2010,SBB3L5ZSV5WQHJ2KE,Gold,Truck,7014,20511,P740598937,2023-05-22,2026-05-21,366.64,Custom,250,50000,1,0,0,,,,,,,,,
Jeremiah,Vasquez,2002-07-29,M,71286 Christina Coves Suite 410,North Ashleyview,ID,58943,714,W,ID00755223,Kia,Optima,2012,0J3OKEKSK2VPAJSPJ,Gray,Sedan,15130,16685,P477107146,2022-05-22,2024-05-21,748.93,Custom,500,50000,1,1,0,C33934719,2023-06-25,2023-07-01,Theft of vehicle,"990 Shannon Place, Martinmouth, WV",8428.11,,Under Investigation,1.0
Clifford,Murphy,2003-08-03,M,648 Mitchell Port Suite 116,North Angela,WA,65770,650,W,WA11015726,Lexus,GX,2013,TAIECEVS40W58CM1Y,Brown,Sedan,16767,20860,P554758273,2023-05-22,2024-05-21,724.33,Basic,2000,25000,1,0,1,C35838274,2023-09-10,2023-10-10,Theft of vehicle,"5135 Taylor Overpass Apt. 743, Lake Tammyside, OH",1778.97,,Open,1.0
James,Cooper,1959-05-27,M,69848 Joseph Plaza,East Jason,NV,94136,542,M,NV29438497,Lexus,ES,2023,76RWR3S18WK501EPE,White,SUV,52007,10907,P843462383,2022-05-22,2024-05-21,2471.37,Standard,500,100000,0,1,1,,,,,,,,,
