account_holder_id,account_holder_name,address,relationship_tier,banking_product_id,product_name,product_category,transaction_date,transaction_amount,transaction_type,transaction_id,account_number
AH111,Edward Hill,"2694 Union Pl, San Francisco CA",Premium,PROD005,Basic Checking,Checking,2024-01-13 13:22:00,774.9,Deposit,TXN000026,CHK306854
AH039,William Thompson,"4102 Broad Ln, Phoenix AZ",Preferred,PROD003,Personal Loan,Loans,2024-02-08 10:48:00,-696.01,Payment,TXN000027,LON910389
AH133,James Taylor Jr,"4935 High Ave, Milwaukee WI",Standard,PROD015,Cashier Check,Services,2024-03-17 15:48:00,-4628.36,Transfer,TXN000028,SVC691912
AH137,Sarah Jones,"7706 Union Blvd, Raleigh NC",Premium,PROD011,Business Checking,Checking,2024-02-10 17:20:00,388.02,Deposit,TXN000029,CHK563688
AH134,Kimberly Sanchez,"6092 Elm Blvd, Mesa AZ",Premium,PROD002,High-Yield Savings,Savings,2024-01-20 12:37:00,834.49,Deposit,TXN000030,SAV584172
AH097,Melissa Torres,"1086 Washington Dr, Colorado Springs CO",Standard,PROD010,Mortgage,Loans,2024-01-03 08:23:00,-414.85,Payment,TXN000031,MTG996840
AH021,David Wright,"2203 Adams Pl, Dallas TX",Preferred,PROD013,Overdraft Protection,Services,2024-02-09 17:32:00,-62.23,Fee,TXN000032,SVC930281
AH010,Donna Harris,"9225  East  Ct,  Seattle  WA",Basic,PROD007,Credit Card,Credit Cards,2024-01-29 17:41:00,-33.15,Fee,TXN000033,CC625721
AH034,Joshua King,"1031 Franklin Ave, Austin TX",Basic,PROD011,Business Checking,Checking,2024-01-04 15:06:00,-8.79,Fee,TXN000034,CHK777513
AH039,William Thompson,"4102 Broad Ln, Phoenix AZ",Preferred,PROD015,Cashier Check,Services,2024-01-03 11:45:00,-57.17,Fee,TXN000035,SVC739427
AH035,Helen Davis,"4133 Fifth St, Kansas City MO",Standard,PROD010,Mortgage,Loans,2024-01-24 13:58:00,-1284.77,Payment,TXN000036,MTG912085
AH075,Steven Moore,"4233 Elm Way, Las Vegas NV",Premium,PROD011,Business Checking,Checking,2024-02-13 17:03:00,517.8,Deposit,TXN000037,CHK811332
AH084,Lisa Moore,"4095 Jefferson Blvd, Louisville KY",Preferred,PROD005,Basic Checking,Checking,2024-01-19 12:46:00,2934.56,Deposit,TXN000038,CHK248298
AH077,William Walker,"1974 Fourth Dr, Virginia Beach VA",Standard,PROD013,Overdraft Protection,Services,2024-01-20 18:44:00,15078.51,Deposit,TXN000039,SVC188834
AH068,Timothy Martinez,"3605 Cedar Blvd, Minneapolis MN",Standard,PROD011,Business Checking,Checking,2024-02-05 14:41:00,-1373.22,Transfer,TXN000040,CHK969226
AH146,Mark Johnson,"4447 Maple Rd, Jacksonville FL",Standard,PROD014,Wire Transfer,Services,2024-02-28 16:05:00,-1872.96,Transfer,TXN000041,SVC480211
AH068,Timothy Martinez,"3605 Cedar Blvd, Minneapolis MN",Standard,PROD016,Safe Deposit Box,Services,2024-01-12 11:21:00,6050.3,Deposit,TXN000042,SVC244247
AH034,Joshua Thomas,"1031 Franklin Ave, Austin TX",Basic,PROD004,Money Market,Savings,2024-02-19 12:54:00,5443.73,Deposit,TXN000043,SAV874524
AH114,Joshua Rodriguez,"4626 King Ct, Phoenix AZ",Basic,PROD005,Basic Checking,Checking,2024-01-03 18:21:00,-171.17,Withdrawal,TXN000044,CHK289630
AH148,Laura Williams,"8643 Union Way, Tulsa OK",Standard,PROD006,Student Checking,Checking,2024-02-19 17:51:00,-183.02,Transfer,TXN000045,CHK481995
AH144,Daniel Lopez,"9864 Main Ln, San Jose CA",Basic,PROD010,Mortgage,Loans,2024-03-01 15:39:00,-2306.7,Payment,TXN000046,MTG921874
AH096,Daniel King,"7481 Lincoln Ln, Oklahoma City OK",Basic,PROD010,Mortgage,Loans,2024-01-15 16:15:00,-2903.67,Payment,TXN000047,MTG922471
AH102,Brian Jackson,"2137 Jefferson Ln, Louisville KY",Standard,PROD015,Cashier Check,Services,2024-02-27 11:23:00,-79.25,Fee,TXN000048,SVC915922
AH083,Kevin Walker,"7236 Fifth Ln, Baltimore MD",PREF,PROD006,Student Checking,Checking,2024-02-02 16:26:00,-1622.39,Transfer,TXN000049,CHK245121
AH055,Laura Lee,"2141 Union Pl, Virginia Beach VA",Preferred,PROD012,Certificate of Deposit,Savings,2024-01-04 18:30:00,1115.64,Deposit,TXN000050,SAV986982
AH113,Deborah Moore,"8005 Adams Dr, Las Vegas NV",Standard,PROD003,Personal Loan,Loans,2024-02-24 09:18:00,-2336.73,Payment,TXN000051,LON386042
AH097,Melissa Torres,"1086 Washington Dr, Colorado Springs CO",Standard,PROD014,Wire Transfer,Services,2024-02-27 16:09:00,23687.12,Deposit,TXN000052,SVC332823
AH097,Melissa Torres,"1086 Washington Dr, Colorado Springs CO",Standard,PROD001,Premium Checking,Checking,2024-02-26 13:59:00,-408.52,Withdrawal,TXN000053,CHK492127
AH052,Michael Miller,"7219 State Ct, Long Beach CA",Standard,PROD008,Auto Loan,Loans,2024-01-25 09:23:00,-278.93,Payment,TXN000054,AUTO203896
AH138,Jennifer Miller,"8907 Walnut Blvd, San Francisco CA",Standard,PROD002,High-Yield Savings,Savings,2024-01-22 10:08:00,8314.64,Deposit,TXN000055,SAV829884
AH031,James Clark Jr,"7986 South Blvd, Albuquerque NM",Basic,PROD001,Premium Checking,Checking,2024-03-31 15:28:00,-5.86,Fee,TXN000056,CHK326130
AH034,Joshua King,"1031 Franklin Ave, Austin TX",Basic,PROD014,Wire Transfer,Services,2024-02-05 17:33:00,19516.23,Deposit,TXN000057,SVC349183
AH066,Edward Moore,"8039 West Ln, Fresno CA",Standard,PROD014,Wire Transfer,Services,2024-01-08 08:15:00,-3990.11,Transfer,TXN000058,SVC579318
AH014,William Allen,"1589 Maple Ave, Albuquerque NM",Premium,PROD001,Premium Checking,Checking,2024-02-22 15:38:00,-583.55,Withdrawal,TXN000059,CHK853448
AH032,Matthew Robinson,"7030 Third Way, Denver CO",Preferred,PROD012,Certificate of Deposit,Savings,2024-01-19 14:00:00,4224.02,Deposit,TXN000060,SAV796643
AH143,William Torres,"1224 Third Dr, Columbus OH",Standard,PROD003,Personal Loan,Loans,2024-01-06 16:23:00,-2869.53,Payment,TXN000061,LON670511
AH110,Laura Young,"8041 Park St, Louisville KY",Preferred,PROD013,Overdraft Protection,Services,2024-03-18 16:01:00,-13.92,Fee,TXN000062,SVC505674
AH081,Nicole Smith,"8131 Washington Blvd, Las Vegas NV",Basic,PROD003,Personal Loan,Loans,2024-01-17 08:22:00,-1165.45,Payment,TXN000063,LON868544
AH140,Laura Clark,"636 Broad Dr, Seattle WA",Standard,PROD011,Business Checking,Checking,2024-02-10 09:49:00,1793.88,Deposit,TXN000064,CHK454992
AH137,Sarah Jones,"7706 Union Blvd, Raleigh NC",Premium,PROD016,Safe Deposit Box,Services,2024-01-12 18:29:00,-993.16,Transfer,TXN000065,SVC241403
AH014,William Allen,"1589 Maple Ave, Albuquerque NM",PREM,PROD010,Mortgage,Loans,2024-03-31 15:02:00,-764.45,Payment,TXN000066,MTG929538
AH045,Jessica Wright,"6149 Fifth Pl, Chicago IL",Premium,PROD010,Mortgage,Loans,2024-02-26 08:20:00,-1643.07,Payment,TXN000067,MTG955015
AH118,Mark Walker,"6346 Water Rd, Minneapolis MN",Preferred,PROD007,Credit Card,Credit Cards,2024-03-16 12:02:00,-25.71,Fee,TXN000068,CC918771
AH012,Deborah Lee,"8279 Market Way, Columbus OH",Premium,PROD009,Investment Account,Investments,2024-02-25 18:21:00,20083.89,Deposit,TXN000069,INV558176
AH087,Carol Thomas,"7900 Jackson Way, San Francisco CA",Basic,PROD006,Student Checking,Checking,2024-03-14 14:21:00,-507.57,Withdrawal,TXN000070,CHK936020
AH113,Deborah Moore,"8005 Adams Dr, Las Vegas NV",Standard,PROD014,Wire Transfer,Services,2024-01-18 09:46:00,11049.88,Deposit,TXN000071,SVC962287
AH041,William Taylor,"1853 Third Rd, San Diego CA",Preferred,PROD004,Money Market,Savings,2024-02-04 12:20:00,6643.1,Deposit,TXN000072,SAV421384
AH096,Daniel King,"7481 Lincoln Ln, Oklahoma City OK",Basic,PROD015,Cashier Check,Services,2024-02-08 14:10:00,-50.24,Fee,TXN000073,SVC862120
AH078,Elizabeth Hernandez,"1976 Hill Ln, Long Beach CA",Premium,PROD002,High-Yield Savings,Savings,2024-02-09 14:17:00,6411.37,Deposit,TXN000074,SAV480959
AH112,Daniel Davis,"2024 Lake Way, Baltimore MD",Basic,PROD001,Premium Checking,Checking,2024-02-21 18:10:00,3057.49,Deposit,TXN000075,CHK919264
AH094,Jennifer Jones,"8156 Cedar St, Portland OR",Preferred,PROD008,Auto Loan,Loans,2024-01-03 10:04:00,-2379.84,Payment,TXN000076,AUTO484123
AH079,David Nguyen,"4078 Washington Ln, Oakland CA",Basic,PROD005,Basic Checking,Checking,2024-01-25 17:02:00,-949.85,Withdrawal,TXN000077,CHK490084
AH095,Melissa Garcia,"2040 Third Blvd, San Francisco CA",Standard,PROD005,Basic Checking,Checking,2024-02-18 09:36:00,-410.07,Withdrawal,TXN000078,CHK781113
AH061,Kenneth Flores,"7561 King Dr, Phoenix AZ",Standard,PROD006,Student Checking,Checking,2024-01-16 09:01:00,-399.25,Withdrawal,TXN000079,CHK688956
AH028,Sarah Baker,"1712 Maple Blvd, Miami FL",Standard,PROD015,Cashier Check,Services,2024-01-17 12:45:00,24910.95,Deposit,TXN000080,SVC399449
AH148,Laura Williams,"8643 Union Way, Tulsa OK",Standard,PROD004,Money Market,Savings,2024-02-28 15:12:00,833.12,Deposit,TXN000081,SAV281043
AH095,Melissa Garcia,"2040 Third Blvd, San Francisco CA",Standard,PROD011,Business Checking,Checking,2024-01-06 18:54:00,-715.35,Withdrawal,TXN000082,CHK676713
AH118,Mark Walker,"6346 Water Rd, Minneapolis MN",Standard,PROD006,Student Checking,Checking,2024-01-19 12:54:00,-1861.92,Transfer,TXN000083,CHK768676
AH039,William Thompson,"4102 Broad Ln, Phoenix AZ",Preferred,PROD008,Auto Loan,Loans,2024-02-20 13:32:00,-539.81,Payment,TXN000084,AUTO310743
AH031,James Clark Jr,"7986 South Blvd, Albuquerque NM",Basic,PROD012,Certificate of Deposit,Savings,2024-03-01 15:01:00,3752.22,Deposit,TXN000085,SAV942700
AH119,Michelle Adams,"7313 Washington Pl, San Antonio TX",Basic,PROD003,Personal Loan,Loans,2024-02-23 17:56:00,-384.09,Payment,TXN000086,LON517500
AH104,George Taylor,"1596 East St, Los Angeles CA",Basic,PROD014,Wire Transfer,Services,2024-02-03 14:49:00,-461.38,Transfer,TXN000087,SVC432427
AH137,Sarah Jones,"7706 Union Blvd, Raleigh NC",Premium,PROD012,Certificate of Deposit,Savings,2024-01-05 15:29:00,8307.63,Deposit,TXN000088,SAV678083
AH136,Robert Baker,"7824 Oak Pl, Charlotte NC",Preferred,PROD005,Basic Checking,Checking,2024-02-07 10:49:00,-912.5,Withdrawal,TXN000089,CHK158104
AH029,Robert Thomas,"3216 Second Way, Fort Worth TX",Premium,PROD006,Student Checking,Checking,2024-02-03 10:19:00,4676.95,Deposit,TXN000090,CHK336422
AH076,Donald Thomas,"1224 Pine St, Miami FL",Basic,PROD003,Personal Loan,Loans,2024-03-19 12:54:00,-901.69,Payment,TXN000091,LON765905
AH119,Michelle Adams,"7313 Washington Pl, San Antonio TX",Basic,PROD010,Mortgage,Loans,2024-03-03 10:40:00,-1920.4,Payment,TXN000092,MTG197966
AH110,Laura Young,"7342 Maple Dr, Raleigh NC",Preferred,PROD005,Basic Checking,Checking,2024-02-11 10:37:00,3141.17,Deposit,TXN000093,CHK734534
AH075,Steven Moore,"4233 Elm Way, Las Vegas NV",Premium,PROD001,Premium Checking,Checking,2024-02-23 17:02:00,4745.31,Deposit,TXN000094,CHK908475
AH123,Robert Lewis,"7156 Lake Dr, Detroit MI",Preferred,PROD014,Wire Transfer,Services,2024-03-02 18:13:00,-3231.06,Transfer,TXN000095,SVC622230
AH133,James Taylor Jr,"4935 High Ave, Milwaukee WI",Standard,PROD010,Mortgage,Loans,2024-03-20 12:41:00,-1552.25,Payment,TXN000096,MTG943776
AH146,Mark Johnson,"4447 Maple Rd, Jacksonville FL",Standard,PROD003,Personal Loan,Loans,2024-01-26 12:29:00,-2128.12,Payment,TXN000097,LON265759
AH094,Jennifer Jones,"8156 Cedar St, Portland OR",Preferred,PROD007,Credit Card,Credit Cards,2024-01-27 15:29:00,-33.2,Fee,TXN000098,CC427766
AH070,Steven Walker,"5863 Union Blvd, New York NY",Basic,PROD005,Basic Checking,Checking,2024-02-16 13:25:00,-1078.46,Transfer,TXN000099,CHK211341
AH070,Steven Walker,"5863 Union Blvd, New York NY",Basic,PROD009,Investment Account,Investments,2024-01-16 15:07:00,-32.31,Fee,TXN000100,INV201514
AH012,Deborah Lee,"8279 Market Way, Columbus OH",Premium,PROD014,Wire Transfer,Services,2024-01-19 14:55:00,24085.8,Deposit,TXN000101,SVC267457
AH072,Jane Harris,"6724 Hill Way, El Paso TX",Basic,PROD011,Business Checking,Checking,2024-02-29 17:46:00,838.74,Deposit,TXN000102,CHK639728
AH101,Sarah Martinez,"2430 Cedar St, Seattle WA",Preferred,PROD001,Premium Checking,Checking,2024-02-01 12:31:00,1996.55,Deposit,TXN000103,CHK579441
AH053,jennifer harris,"3214 Spring St, Kansas City MO",Standard,PROD002,High-Yield Savings,Savings,2024-01-14 17:22:00,4999.45,Deposit,TXN000104,SAV983791
AH139,Timothy Wright,"9722 Lake Blvd, Las Vegas NV",Standard,PROD001,Premium Checking,Checking,2024-02-13 15:18:00,-918.76,Transfer,TXN000105,CHK377319
AH080,Jennifer Torres,"5788 Second Blvd, Chicago IL",Standard,PROD002,High-Yield Savings,Savings,2024-02-18 14:23:00,5745.79,Deposit,TXN000106,SAV304110
AH079,David Nguyen,"4078 Washington Ln, Oakland CA",Basic,PROD013,Overdraft Protection,Services,2024-02-05 12:04:00,-2306.74,Transfer,TXN000107,SVC676566
AH061,Kenneth Flores,"7561 King Dr, Phoenix AZ",Standard,PROD004,Money Market,Savings,2024-02-22 17:43:00,1057.15,Deposit,TXN000108,SAV491326
AH075,Steven Moore,"4233 Elm Way, Las Vegas NV",Premium,PROD005,Basic Checking,Checking,2024-02-05 13:48:00,2570.16,Deposit,TXN000109,CHK624369
AH010,Donna Harris,"9225 East Ct, Seattle WA",Basic,PROD011,Business Checking,Checking,2024-01-03 08:08:00,-1086.73,Transfer,TXN000110,CHK256175
AH129,Sarah Hill,"8238 Mill Dr, Tampa FL",Standard,PROD011,Business Checking,Checking,2024-02-27 16:08:00,-19.33,Fee,TXN000111,CHK512042
AH131,Melissa Lewis,"9595 Broad Rd, Chicago IL",Premium,PROD011,Business Checking,Checking,2024-02-17 12:37:00,-519.52,Withdrawal,TXN000112,CHK613641
AH121,Kimberly Wright,"5288 Jackson Pl, Oklahoma City OK",Premium,PROD001,Premium Checking,Checking,2024-03-05 15:52:00,3385.34,Deposit,TXN000113,CHK536774
AH125,Laura Baker,"8253 Fifth Rd, San Francisco CA",Preferred,PROD016,Safe Deposit Box,Services,2024-01-20 18:01:00,-97.04,Fee,TXN000114,SVC920934
AH124,Ruth Clark,"3050 Hill Rd, Kansas City MO",Premium,PROD002,High-Yield Savings,Savings,2024-02-06 11:46:00,1788.07,Deposit,TXN000115,SAV759580
AH132,Paul Lopez,"2265 Second Ct, Fort Worth TX",Standard,PROD008,Auto Loan,Loans,2024-02-19 14:09:00,-288.4,Payment,TXN000116,AUTO834549
AH026,ashley wright,"9455 Fourth Way, Dallas TX",Preferred,PROD011,Business Checking,Checking,2024-01-13 08:28:00,-424.7,Withdrawal,TXN000117,CHK313795
AH089,Sharon Wright,"7534 Center Ln, Nashville TN",Preferred,PROD016,Safe Deposit Box,Services,2024-03-18 17:58:00,-3664.27,Transfer,TXN000118,SVC840058
AH031,James Clark Jr,"7986 South Blvd, Albuquerque NM",Basic,PROD011,Business Checking,Checking,2024-03-19 11:35:00,-26.53,Fee,TXN000119,CHK495129
AH069,Paul Brown,"6983 Water St, Columbus OH",Basic,PROD011,Business Checking,Checking,2024-01-12 15:58:00,-682.35,Withdrawal,TXN000120,CHK855944
AH145,Jennifer Nelson,"2259 Main Ct, Los Angeles CA",Basic,PROD016,Safe Deposit Box,Services,2024-02-11 12:39:00,23954.77,Deposit,TXN000121,SVC392559
AH120,Jessica Jones,"4442 High Blvd, Milwaukee WI",Standard,PROD010,Mortgage,Loans,2024-01-20 11:19:00,-2173.72,Payment,TXN000122,MTG823769
AH150,Edward Nguyen,"5427 Water Pl, Mesa AZ",Preferred,PROD012,Certificate of Deposit,Savings,2024-02-01 13:30:00,9351.41,Deposit,TXN000123,SAV856719
AH060,Amanda Baker,"3780 North Rd, Washington DC",Premium,PROD013,Overdraft Protection,Services,2024-01-19 09:36:00,-83.65,Fee,TXN000124,SVC910616
AH033,Sarah Nguyen,"8983 Maple Ct, Tampa FL",Premium,PROD003,Personal Loan,Loans,2024-01-19 08:18:00,-1169.82,Payment,TXN000125,LON563864
AH139,Timothy Wright,"9722 Lake Blvd, Las Vegas NV",Standard,PROD007,Credit Card,Credit Cards,2024-01-17 15:13:00,-42.99,Fee,TXN000126,CC829988
AH059,James Nelson,"4749 Franklin Ct, Philadelphia PA",Premium,PROD008,Auto Loan,Loans,2024-01-09 09:39:00,-878.88,Payment,TXN000127,AUTO802371
AH115,John Jackson,"4991 Fifth Way, Tulsa OK",Basic,PROD002,High-Yield Savings,Savings,2024-01-15 18:14:00,3369.91,Deposit,TXN000128,SAV595351
AH023,Elizabeth Lewis,"7497 Park Dr, Fresno CA",Preferred,PROD006,Student Checking,Checking,2024-02-13 10:00:00,-936.33,Withdrawal,TXN000129,CHK598807
AH104,George Taylor,"1596 East St, Los Angeles CA",Basic,PROD010,Mortgage,Loans,2024-02-11 11:48:00,-1099.27,Payment,TXN000130,MTG777273
AH014,William Allen,"1589 Maple Ave, Albuquerque NM",Preferred,PROD008,Auto Loan,Loans,2024-02-28 09:41:00,-1698.43,Payment,TXN000131,AUTO858243
AH009,Elizabeth Thompson,"4474 Cedar Rd, Columbus OH",Standard,PROD006,Student Checking,Checking,2024-02-28 10:26:00,-6.64,Fee,TXN000132,CHK976822
AH087,Carol Scott,"7900 Jackson Way, San Francisco CA",Basic,PROD010,Mortgage,Loans,2024-02-20 15:11:00,-2654.88,Payment,TXN000133,MTG109717
AH065,Joshua Ramirez,"7405 Hill Way, Mesa AZ",Standard,PROD011,Business Checking,Checking,2024-02-06 17:06:00,4946.04,Deposit,TXN000134,CHK669691
AH114,Joshua Rodriguez,"4626 King Ct, Phoenix AZ",Basic,PROD015,Cashier Check,Services,2024-02-01 10:54:00,-27.35,Fee,TXN000135,SVC218118
AH073,Kevin Johnson,"9797 Fourth St, Portland OR",Premium,PROD009,Investment Account,Investments,2024-01-11 15:41:00,-1012.38,Transfer,TXN000136,INV872399
AH075,Steven Moore,"4233 Elm Way, Las Vegas NV",Premium,PROD007,Credit Card,Credit Cards,2024-02-20 12:36:00,-1241.36,Payment,TXN000137,CC769752
AH088,Melissa Nelson,"6146 Adams Pl, Atlanta GA",Standard,PROD011,Business Checking,Checking,2024-02-22 14:32:00,3362.82,Deposit,TXN000138,CHK293757
AH031,James Clark Jr,"7986 South Blvd, Albuquerque NM",Basic,PROD008,Auto Loan,Loans,2024-03-16 13:59:00,-219.12,Payment,TXN000139,AUTO502206
AH052,Michael Miller,"7219 State Ct, Long Beach CA",Standard,PROD010,Mortgage,Loans,2024-01-29 12:21:00,-1830.89,Payment,TXN000140,MTG700705
AH002,Kevin Garcia,"7012 Pine St, Atlanta GA",Premium,PROD008,Auto Loan,Loans,2024-01-17 18:23:00,-373.95,Payment,TXN000141,AUTO223967
AH101,Sarah Martinez,"2430 Cedar St, Seattle WA",Preferred,PROD010,Mortgage,Loans,2024-01-20 10:25:00,-2132.81,Payment,TXN000142,MTG769737
AH064,Ronald King,"9855 School Way, Mesa AZ",Standard,PROD008,Auto Loan,Loans,2024-01-24 17:14:00,-2880.61,Payment,TXN000143,AUTO601410
AH034,Joshua Thomas,"1031 Franklin Ave, Austin TX",Basic,PROD014,Wire Transfer,Services,2024-03-15 17:23:00,-2791.25,Transfer,TXN000144,SVC593699
AH117,Christopher Hall,"9468 Water Dr, San Francisco CA",Basic,PROD007,Credit Card,Credit Cards,2024-02-21 18:52:00,-1376.67,Payment,TXN000145,CC724756
AH018,Joshua Miller,"4989 Franklin Dr, Raleigh NC",Preferred,PROD012,Certificate of Deposit,Savings,2024-02-03 15:33:00,5685.27,Deposit,TXN000146,SAV164758
AH119,Michelle Perez,"7313 Washington Pl, San Antonio TX",Basic,PROD005,Basic Checking,Checking,2024-02-27 16:12:00,4279.71,Deposit,TXN000147,CHK563303
AH027,Paul Gonzalez,"1688 Madison Ct, San Antonio TX",Standard,PROD016,Safe Deposit Box,Services,2024-02-13 11:45:00,22522.79,Deposit,TXN000148,SVC567122
AH013,Sharon Wright,"9677 Madison Blvd, Indianapolis IN",Preferred,PROD014,Wire Transfer,Services,2024-01-30 10:32:00,-60.75,Fee,TXN000149,SVC685941
AH100,Donna Jones,"3924 Spring Dr, Omaha NE",Standard,PROD001,Premium Checking,Checking,2024-02-13 12:46:00,4091.44,Deposit,TXN000150,CHK882032
AH048,Nicole Clark,"4165 Center Rd, Virginia Beach VA",Basic,PROD014,Wire Transfer,Services,2024-02-07 09:02:00,-73.03,Fee,TXN000151,SVC667451
AH014,William Allen,"1589 Maple Ave, Albuquerque NM",Preferred,PROD016,Safe Deposit Box,Services,2024-02-29 09:59:00,7533.72,Deposit,TXN000152,SVC288724
AH031,James Clark,"7986 South Blvd, Albuquerque NM",Basic,PROD014,Wire Transfer,Services,2024-02-19 18:46:00,-99.36,Fee,TXN000153,SVC501058
AH096,Daniel King,"7481 Lincoln Ln, Oklahoma City OK",Basic,PROD003,Personal Loan,Loans,2024-02-25 14:24:00,-2111.64,Payment,TXN000154,LON793939
AH118,Mark Walker,"6346  Water  Rd,  Minneapolis  MN",Standard,PROD012,Certificate of Deposit,Savings,2024-01-09 18:55:00,9929.18,Deposit,TXN000155,SAV512151
AH115,John Jackson,"4991 Fifth Way, Tulsa OK",Basic,PROD001,Premium Checking,Checking,2024-01-09 11:53:00,-1959.13,Transfer,TXN000156,CHK585494
AH144,Daniel Perez,"9864 Main Ln, San Jose CA",Basic,PROD013,Overdraft Protection,Services,2024-02-16 16:27:00,6564.04,Deposit,TXN000157,SVC462974
AH034,Joshua Thomas,"1031 Franklin Ave, Austin TX",Basic,PROD004,Money Market,Savings,2024-03-03 11:59:00,6635.96,Deposit,TXN000158,SAV744793
AH004,John Hernandez,"7024 High Ln, Oakland CA",Preferred,PROD004,Money Market,Savings,2024-01-16 11:04:00,4519.77,Deposit,TXN000159,SAV804667
AH150,Edward Nguyen,"5427 Water Pl, Mesa AZ",Preferred,PROD002,High-Yield Savings,Savings,2024-02-25 08:15:00,2419.96,Deposit,TXN000160,SAV327823
AH013,Sharon Wright,"9677 Madison Blvd, Indianapolis IN",Preferred,PROD008,Auto Loan,Loans,2024-01-09 16:18:00,-2484.2,Payment,TXN000161,AUTO867051
AH123,Robert Lewis,"7156 Lake Dr, Detroit MI",Preferred,PROD011,Business Checking,Checking,2024-03-06 17:38:00,4387.48,Deposit,TXN000162,CHK792282
