customer_id,customer_name,age,account_tenure_months,credit_score,annual_income,state,account_type,previous_fraud_incidents
CUST049,Kevin Hamilton,48,72,740,160699,OREGON,PREMIUM,0
CUST050,Colleen Smith,48,52,773,114027,OHIO,CHECKING,0
CUST051,Anita Banks,26,4,673,47504,TEXAS,CHECKING,2
CUST052,Tina Fernandez,26,12,630,104228,MASSACHUSETTS,CHECKING,0
CUST053,Sheila Chan,18,11,664,98564,LOUISIANA,CHECKING,0
CUST054,Ryan Chandler,19,45,724,36688,WASHINGTON,CHECKING,0
CUST055,Amanda Torres,24,11,559,39887,WISCONSIN,SAVINGS,1
CUST056,Marissa Harris,35,12,741,74211,MINNESOTA,PREMIUM,0
CUST057,James Fowler,47,27,655,83334,FLORIDA,CHECKING,0
CUST058,Gina Short,30,36,743,112625,TEXAS,CHECKING,0
CUST059,Amber Hernandez,25,9,661,88248,CALIFORNIA,PREMIUM,0
CUST060,David Bishop,41,27,664,53167,MISSOURI,CHECKING,0
CUST061,Jonathan Woods,39,14,814,59494,OREGON,CHECKING,0
CUST062,Derrick Robinson,39,19,666,90402,ARIZONA,CHECKING,1
CUST063,Kelli Chang,28,37,727,126000,MISSOURI,PREMIUM,1
CUST064,Douglas May,47,18,711,131179,TEXAS,PREMIUM,0
CUST065,Alexandra Donovan,31,37,663,29711,RHODE_ISLAND,PREMIUM,0
CUST066,Donald Reed,19,4,653,59687,ARIZONA,CHECKING,0
CUST067,Christina Brooks,28,7,632,57805,MISSOURI,PREMIUM,0
CUST068,Michael Hoffman,36,3,763,80625,PENNSYLVANIA,CHECKING,0
CUST069,Jamie Pena,23,16,676,59921,MARYLAND,CHECKING,0
CUST070,Courtney Castillo,28,3,684,46867,TEXAS,CHECKING,0
CUST071,Erica Cruz,29,10,725,48976,VERMONT,CHECKING,1
CUST072,Pamela Kane,18,4,691,32223,NEBRASKA,PREMIUM,1
CUST073,Bradley Hardy,18,22,640,85945,SOUTH_CAROLINA,PREMIUM,0
CUST074,Daniel Simmons,34,16,661,54994,HAWAII,CHECKING,0
CUST075,Melissa Berry,22,28,703,90802,NORTH_DAKOTA,CHECKING,0
CUST076,Michele Watson,38,1,784,106657,KENTUCKY,CHECKING,0
CUST077,Jenna Austin,33,15,622,54867,MICHIGAN,CHECKING,0
CUST078,Brian Meyer,36,3,736,52590,WEST_VIRGINIA,CHECKING,0
CUST079,Misty Elliott,23,3,647,79859,ARKANSAS,CHECKING,0
CUST080,Henry Mayer,42,15,676,57576,ARIZONA,CHECKING,2
CUST081,Carla Webb,45,10,740,66056,NEW_YORK,CHECKING,0
CUST082,Joy Cummings,36,6,715,64381,NEBRASKA,PREMIUM,0
CUST083,Kayla Boyer,24,27,668,25000,IOWA,CHECKING,0
CUST084,Jeffrey Rodriguez,32,10,722,126850,MAINE,SAVINGS,0
CUST085,Tracy Thomas,52,8,801,47342,WASHINGTON,CHECKING,0
CUST086,Mary Sharp,24,4,675,25684,NEW_YORK,CHECKING,0
CUST087,James Nicholson,41,13,796,65834,OHIO,CHECKING,2
CUST088,Alyssa Harrison,19,5,655,59171,NEW_HAMPSHIRE,CHECKING,2
CUST089,Kenneth Moore,32,3,672,64440,MICHIGAN,PREMIUM,0
CUST090,Kimberly Graham,36,8,653,80345,OREGON,CHECKING,0
CUST091,Danielle Montes,32,7,731,70227,MARYLAND,SAVINGS,0
CUST092,Susan James,31,11,704,71836,DELAWARE,CHECKING,0
CUST093,Mary Williams,38,3,664,31250,NEVADA,CHECKING,1
CUST094,Jennifer Villanueva,27,13,707,70573,NEW_MEXICO,CHECKING,0
CUST095,Meagan Serrano,35,1,587,142800,SOUTH_DAKOTA,PREMIUM,0
CUST096,Fernando Graham,42,2,787,60068,OKLAHOMA,CHECKING,0
CUST097,Gregory Williams,21,5,713,58411,COLORADO,CHECKING,0
CUST098,Anthony Webb,22,31,700,58062,DELAWARE,CHECKING,0
CUST099,Laurie Guerrero,34,24,634,29250,WASHINGTON,CHECKING,0
CUST100,Patricia Lee,38,21,788,68926,ALABAMA,CHECKING,1
CUST101,Lisa Thomas,28,19,691,39706,NEW_MEXICO,CHECKING,0
CUST102,Kristy Martinez,23,1,696,50689,MONTANA,CHECKING,0
CUST103,Charles Wilson,18,13,684,33132,KANSAS,CHECKING,0
CUST104,Michelle Turner,42,19,673,102408,CALIFORNIA,SAVINGS,0
CUST105,Alejandro Thornton,21,5,679,62040,OHIO,CHECKING,1
CUST106,Katie Munoz,27,11,614,71738,MISSOURI,CHECKING,3
CUST107,Michelle Wood,31,41,781,42231,HAWAII,CHECKING,2
CUST108,Grace Mcdonald,34,10,711,47968,INDIANA,SAVINGS,0
CUST109,Carolyn Goodwin,26,2,767,44346,WASHINGTON,CHECKING,0
CUST110,Ashley Mcpherson,32,44,635,126692,WASHINGTON,CHECKING,0
CUST111,Hannah Kerr,34,9,671,41653,TEXAS,CHECKING,0
CUST112,Stephanie Atkinson,24,10,714,83420,GEORGIA,CHECKING,0
CUST113,Jill Ball,29,12,749,106604,VERMONT,CHECKING,1
CUST114,Derek Orozco,25,16,728,31650,MASSACHUSETTS,CHECKING,0
CUST115,Chelsea Tran,31,11,638,74123,VIRGINIA,CHECKING,0
CUST116,Eric Miller,22,19,712,70679,NORTH_DAKOTA,CHECKING,0
CUST117,Nicole Harris,48,24,719,73840,NORTH_CAROLINA,PREMIUM,0
CUST118,Francisco Ramirez,32,18,680,93891,RHODE_ISLAND,CHECKING,0
CUST119,James Todd,42,15,710,94299,OREGON,CHECKING,0
CUST120,Raymond Thomas,18,39,608,74504,KENTUCKY,CHECKING,1
CUST121,Meghan Figueroa,18,9,800,34140,IOWA,CHECKING,1
CUST122,Carl Sutton,41,10,757,45743,COLORADO,CHECKING,0
CUST123,Richard Woodard,23,6,695,47446,PENNSYLVANIA,PREMIUM,1
CUST124,Richard Washington,39,7,731,88308,COLORADO,CHECKING,0
CUST125,Natasha Sanchez,24,14,712,34701,NEW_MEXICO,PREMIUM,2
CUST126,Nancy Dennis,29,34,722,80636,LOUISIANA,CHECKING,0
CUST127,Rhonda Lopez,30,4,709,130799,WYOMING,CHECKING,1
CUST128,Nicholas Watkins,29,9,665,33300,NEW_HAMPSHIRE,CHECKING,0
CUST129,Jennifer Moran,26,6,751,121200,WEST_VIRGINIA,CHECKING,0
CUST130,Wesley Gonzalez,43,13,754,62436,SOUTH_CAROLINA,CHECKING,0
CUST131,Christine Johnson,24,4,691,114390,NEW_YORK,CHECKING,2
CUST132,Crystal Smith,37,25,629,56480,GEORGIA,CHECKING,3
CUST133,Kathy Gonzalez,32,12,694,32842,NEW_HAMPSHIRE,CHECKING,1
CUST134,Melanie Miller,20,35,659,37380,NEW_HAMPSHIRE,CHECKING,0
CUST135,Timothy Bruce,40,9,773,84747,MISSOURI,CHECKING,0
CUST136,Robert Krause,41,15,723,34686,MICHIGAN,CHECKING,0
CUST137,Natalie Brown,43,10,667,61831,OREGON,CHECKING,0
CUST138,Margaret Pace,27,14,718,60561,OKLAHOMA,CHECKING,0
CUST139,Rachel Romero,23,17,682,25152,RHODE_ISLAND,PREMIUM,1
CUST140,Mary Summers,35,32,699,83806,NEW_MEXICO,CHECKING,2
CUST141,Christopher Smith,19,9,709,33304,HAWAII,CHECKING,0
CUST142,Peter Turner,23,28,660,45771,SOUTH_CAROLINA,PREMIUM,0
CUST143,Andre Adams,43,4,678,58248,ARKANSAS,CHECKING,0
CUST144,Frances Lewis,51,29,618,61119,NORTH_DAKOTA,CHECKING,0
CUST145,Bailey Campbell,32,48,657,132090,NEW_HAMPSHIRE,CHECKING,0
CUST146,Lindsey Jones,30,15,685,50371,HAWAII,CHECKING,0
CUST147,Sarah Vargas,51,1,703,75375,NEW_YORK,CHECKING,0
CUST148,Martha Castaneda,40,25,624,154800,UTAH,CHECKING,0
CUST149,Kimberly Hawkins,29,6,680,87535,OREGON,CHECKING,0
CUST150,Terri Lee,39,26,734,77274,TENNESSEE,SAVINGS,0
CUST151,Randall Robertson,47,11,743,49878,CALIFORNIA,CHECKING,0
CUST152,Dustin Lopez,29,48,752,106213,IOWA,CHECKING,0
CUST153,Paul Duncan,29,3,704,39148,VERMONT,CHECKING,1
CUST154,Christopher Jackson,39,12,682,103331,SOUTH_DAKOTA,CHECKING,1
CUST155,Janet Gordon,41,19,677,58767,LOUISIANA,CHECKING,2
CUST156,Joseph Parker,30,13,641,43811,MINNESOTA,PREMIUM,0
CUST157,Beth Taylor,22,1,717,28248,ALABAMA,CHECKING,1
CUST158,Thomas Werner,28,40,668,63464,NEW_MEXICO,PREMIUM,1
CUST159,Nathan Allen,23,21,711,30699,GEORGIA,CHECKING,1
CUST160,Michael Schwartz,29,7,702,42281,MISSOURI,CHECKING,0
CUST161,Thomas Andrade,31,16,680,72491,MICHIGAN,CHECKING,1
CUST162,Ian Robinson,30,9,639,51110,GEORGIA,CHECKING,0
CUST163,Douglas Bell,19,11,687,45369,MASSACHUSETTS,CHECKING,0
CUST164,Daniel Phillips,34,8,674,52251,SOUTH_DAKOTA,PREMIUM,0
CUST165,Katie Conner,18,8,709,65659,WISCONSIN,PREMIUM,0
CUST166,Derrick Jimenez,30,23,750,119381,WEST_VIRGINIA,CHECKING,0
CUST167,Bruce Wright,18,8,666,43542,COLORADO,CHECKING,0
CUST168,Drew Vazquez,24,1,616,51231,LOUISIANA,PREMIUM,0
CUST169,Cole Young,21,18,632,53072,SOUTH_DAKOTA,CHECKING,0
CUST170,Michelle Robles,18,7,696,25000,COLORADO,PREMIUM,1
CUST171,Jennifer Byrd,34,21,768,48661,WASHINGTON,CHECKING,1
CUST172,Nicole Moreno,32,8,636,75461,ARKANSAS,CHECKING,0
CUST173,Timothy Daugherty,22,29,700,111599,ALABAMA,CHECKING,0
CUST174,Clarence Khan,39,16,681,70460,INDIANA,CHECKING,0
CUST175,Amy Smith,18,10,632,34654,LOUISIANA,CHECKING,0
CUST176,Yvonne Anderson,39,15,767,98986,NORTH_CAROLINA,SAVINGS,1
CUST177,Robert Rodriguez,22,21,663,71433,TENNESSEE,SAVINGS,0
CUST178,Thomas Davis,19,31,671,53993,MASSACHUSETTS,CHECKING,0
CUST179,David Martinez,18,4,727,45800,SOUTH_CAROLINA,CHECKING,0
CUST180,Ashley Harrington,27,12,708,123600,SOUTH_CAROLINA,CHECKING,1
CUST181,Thomas Brown,37,20,710,98336,TENNESSEE,CHECKING,0
CUST182,Jason Cooper,18,6,694,31782,FLORIDA,PREMIUM,0
CUST183,Aaron Weiss,26,22,699,82042,WEST_VIRGINIA,PREMIUM,0
CUST184,Rachael Hill,32,40,693,76513,MAINE,PREMIUM,1
CUST185,Eric Miller,18,30,706,25000,ALABAMA,PREMIUM,0
CUST186,Alicia Anderson,31,10,744,123842,OREGON,CHECKING,0
CUST187,Mary Jones,53,12,758,155400,UTAH,PREMIUM,2
CUST188,William Cole,32,3,620,41509,OKLAHOMA,CHECKING,0
CUST189,Eddie Olson,29,13,622,35414,UTAH,CHECKING,0
CUST190,Melissa Patel,33,39,779,60920,ALASKA,CHECKING,0
CUST191,Brenda Kelley,48,32,743,73448,KENTUCKY,CHECKING,0
CUST192,Katie Hughes,39,23,727,104189,UTAH,CHECKING,0
CUST193,Anthony Peterson,36,21,715,38325,NEW_YORK,PREMIUM,1
CUST194,Allison Caldwell,40,26,735,58253,ALABAMA,PREMIUM,0
CUST195,Adam Krause,26,4,704,67260,ARKANSAS,CHECKING,0
CUST196,Shawn Marquez,32,29,644,40898,IOWA,PREMIUM,0
CUST197,Jerry Stevens,29,12,638,128400,ALASKA,CHECKING,0
CUST198,Joy Johnson,18,28,674,51750,ILLINOIS,CHECKING,0
CUST199,Susan George,32,16,758,53113,MONTANA,CHECKING,1
CUST200,Elizabeth Patterson,19,41,699,76052,KANSAS,PREMIUM,1
