SaleID,CustomerID,FirstName,LastName,Email,CustomerCity,CustomerState,LoyaltyMember,ProductID,ProductName,Category,UnitPrice,StoreID,StoreName,StoreCity,StoreState,SaleDate,Quantity,TotalAmount
17,813,William,Washington,tanderson@example.net,Lake Jasonfort,CA,0,65,Clothing Item 65,Clothing,173.67,24,Store New Martinport #24,Port Matthewfurt,GA,2024-07-02,2,347.34
18,490,Michael,Jimenez,robertgoodwin@example.com,Ramirezburgh,MI,1,65,Clothing Item 65,Clothing,173.67,40,Store Port Crystalstad #40,Port Scott,MI,2024-04-21,1,173.67
19,1053,Danny,Gibson,stacythomas@example.org,Ashleyfurt,FL,0,88,Toys Item 88,Toys,63.76,9,Store South Dennis #9,North Kennethberg,FL,2023-06-05,1,63.76
20,1160,Austin,Romero,ryan43@example.org,North Kimborough,GA,0,58,Electronics Item 58,Electronics,62.8,37,Store Lake Allisonmouth #37,East Rebecca,FL,2024-06-01,1,62.8
21,300,Linda,Garcia,nicole26@example.org,North Alyssa,OH,0,85,Toys Item 85,Toys,170.41,48,Store Lake Nathaniel #48,Margaretborough,IL,2023-09-23,4,681.64
22,735,Madison,Lucas,gloria36@example.org,East Jamesbury,MI,1,94,Sports Item 94,Sports,62.52,3,Store Skinnerfurt #3,Finleyton,NC,2024-02-27,2,125.04
23,475,Scott,Harris,james98@example.net,New Gavin,FL,0,29,Toys Item 29,Toys,187.81,5,Store Coxton #5,Biancaview,TX,2024-08-14,3,563.43
24,88,April,Dean,wgarrett@example.org,West Andrea,PA,0,34,Sports Item 34,Sports,112.28,43,Store Jacobmouth #43,North Ronald,PA,2024-05-21,1,112.28
25,1621,Julie,Zimmerman,susan92@example.org,West Robert,NY,0,27,Sports Item 27,Sports,169.97,24,Store New Martinport #24,Port Matthewfurt,GA,2025-01-01,2,339.94
26,932,Nicholas,Meyer,sarah75@example.net,Rogersmouth,NC,1,50,Clothing Item 50,Clothing,191.98,3,Store Skinnerfurt #3,Finleyton,NC,2025-05-15,2,383.96
27,664,John,Hamilton,patriciavargas@example.org,South Tinaton,OH,1,6,Sports Item 6,Sports,80.83,7,Store Cassandraborough #7,New Robert,FL,2023-08-02,5,404.15
28,1298,Robert,Greene,kaylee15@example.net,Perezfurt,NY,0,91,Toys Item 91,Toys,11.01,18,Store Mitchellmouth #18,Hendricksshire,FL,2024-12-14,5,55.05
29,1115,Wesley,Fischer,garcialinda@example.com,Henrystad,OH,0,95,Toys Item 95,Toys,33.09,37,Store Lake Allisonmouth #37,East Rebecca,FL,2024-05-27,1,33.09
30,776,Rebecca,Woods,traceysutton@example.com,New Ronald,MI,0,23,Clothing Item 23,Clothing,148.34,24,Store New Martinport #24,Port Matthewfurt,GA,2025-01-16,1,148.34
31,1712,Nicole,Bond,hubersamantha@example.net,Changmouth,IL,0,76,Sports Item 76,Sports,18.74,5,Store Coxton #5,Biancaview,TX,2023-09-01,2,37.48
32,1993,Tony,Ramirez,jessicamiddleton@example.net,North Robertstad,NC,1,67,Clothing Item 67,Clothing,109.86,15,Store Elizabethstad #15,East John,FL,2025-02-03,1,109.86
33,1674,Julie,Mays,bradleybarker@example.net,Lake Katherine,TX,1,67,Clothing Item 67,Clothing,109.86,23,Store North Gregory #23,Mitchellside,NC,2025-02-21,2,219.72
34,1817,Jessica,Barber,kelleyglen@example.org,Kathleenfort,OH,0,63,Toys Item 63,Toys,17.77,39,Store Lopezmouth #39,North Joshuaton,IL,2023-10-03,3,53.31
35,285,Madeline,Richardson,wolfscott@example.org,Garciabury,NC,1,1,Home Item 1,Home,44.78,29,Store East Laura #29,South Lisa,IL,2024-02-21,2,89.56
36,1054,Bryan,Stokes,nirwin@example.org,Port Andrew,MI,0,22,Toys Item 22,Toys,19.52,42,Store North Samanthafort #42,Lake David,FL,2023-05-30,1,19.52
37,383,Nathan,Richards,eyork@example.org,South Pamelahaven,CA,1,36,Home Item 36,Home,107.45,11,Store Josephberg #11,Lake Xavierhaven,NC,2023-07-16,1,107.45
38,1674,Julie,Mays,bradleybarker@example.net,Lake Katherine,TX,1,47,Toys Item 47,Toys,72.47,8,Store West Deborahfurt #8,South James,PA,2023-05-11,2,144.94
39,1662,Cameron,Gibson,dawn73@example.net,Maryfurt,NY,0,85,Toys Item 85,Toys,170.41,22,Store Riversland #22,Clarkview,CA,2024-05-16,1,170.41
40,1383,Abigail,Warren,chall@example.com,New Juliamouth,IL,0,93,Clothing Item 93,Clothing,150.62,31,Store Knightbury #31,Pereztown,FL,2023-08-05,1,150.62
41,331,Nathan,Mccoy,aguilarjonathan@example.org,North Jamesmouth,TX,1,62,Sports Item 62,Sports,108.98,42,Store North Samanthafort #42,Lake David,FL,2023-08-30,1,108.98
42,89,Sara,Kim,omartinez@example.net,Lake Eric,NC,0,53,Electronics Item 53,Electronics,80.25,9,Store South Dennis #9,North Kennethberg,FL,2024-03-03,1,80.25
43,276,Ryan,Johnson,shannonjordan@example.org,East Joshua,CA,1,74,Electronics Item 74,Electronics,19.28,41,Store North Sarastad #41,Debraton,TX,2023-07-17,2,38.56
44,1173,Michelle,Patton,aguirreangela@example.net,Micheleside,MI,0,66,Books Item 66,Books,167.95,10,Store Javierchester #10,Port Joanne,OH,2024-01-31,1,167.95
45,1890,Samantha,Lutz,kristen89@example.com,Jimenezton,IL,0,8,Toys Item 8,Toys,61.09,12,Store New Jessicaville #12,Hernandezbury,NY,2024-09-12,1,61.09
46,1228,Tracy,Wright,richardmassey@example.net,North Katrina,NY,0,67,Clothing Item 67,Clothing,109.86,37,Store Lake Allisonmouth #37,East Rebecca,FL,2025-02-15,5,549.3
47,1474,Catherine,Lopez,jessica90@example.com,New Adam,OH,0,82,Electronics Item 82,Electronics,130.08,47,Store New Jessica #47,Bowersstad,MI,2025-05-09,1,130.08
48,1940,Jennifer,Richardson,danielspencer@example.net,Nathanton,TX,0,85,Toys Item 85,Toys,170.41,6,Store Dianamouth #6,Myersborough,IL,2025-01-29,3,511.23
49,966,Benjamin,Thomas,susanguzman@example.org,Joshuachester,GA,0,28,Electronics Item 28,Electronics,69.46,31,Store Knightbury #31,Pereztown,FL,2024-07-04,2,138.92
50,842,Emily,Morrison,cameronanderson@example.org,West Sarah,TX,0,22,Toys Item 22,Toys,19.52,39,Store Lopezmouth #39,North Joshuaton,IL,2023-10-20,1,19.52
51,1681,Charles,Perry,kperez@example.com,Oliviaburgh,NY,0,19,Sports Item 19,Sports,43.31,50,Store North Justin #50,Vazquezbury,NY,2025-03-24,3,129.93
52,1047,Tiffany,Hines,isantos@example.org,Williamsport,FL,1,24,Electronics Item 24,Electronics,78.55,17,Store Melindahaven #17,Sullivanstad,IL,2025-05-17,2,157.1
53,702,Larry,Cox,mpreston@example.net,Geraldport,CA,0,22,Toys Item 22,Toys,19.52,30,Store Kimberlyport #30,Lake Lisa,TX,2024-07-07,3,58.56
54,471,Becky,Schroeder,qfitzgerald@example.org,South Krista,NC,0,77,Clothing Item 77,Clothing,182.64,25,Store West Kristin #25,Barbarafurt,NC,2024-10-08,2,365.28
55,34,Rebecca,Mathis,waltersmaria@example.org,West Kellieview,FL,1,50,Clothing Item 50,Clothing,191.98,13,Store Rebeccaland #13,Bakerborough,NY,2024-07-09,1,191.98
56,1033,Ethan,Sanders,dfrazier@example.net,Samanthahaven,OH,0,67,Clothing Item 67,Clothing,109.86,44,Store Jeremyshire #44,Port Samanthafurt,GA,2024-09-02,4,439.44
57,1241,Jason,Smith,veronicadavis@example.net,East Fred,TX,0,54,Sports Item 54,Sports,146.18,7,Store Cassandraborough #7,New Robert,FL,2025-05-17,3,438.54
58,1260,Shannon,Welch,benjamindavenport@example.com,New Ashley,PA,0,23,Clothing Item 23,Clothing,148.34,39,Store Lopezmouth #39,North Joshuaton,IL,2023-09-20,2,296.68
59,1089,Jason,Bradley,rachel81@example.com,Carolynhaven,CA,0,5,Clothing Item 5,Clothing,149.77,33,Store East Sarah #33,West Jessicamouth,GA,2024-10-30,4,599.08
60,988,Ralph,Manning,martinjames@example.com,Davidfort,OH,0,97,Toys Item 97,Toys,131.35,43,Store Jacobmouth #43,North Ronald,PA,2023-07-09,1,131.35
61,1105,Julie,Allen,blopez@example.com,Bellville,MI,0,17,Toys Item 17,Toys,76.71,1,Store Martinshire #1,Port Mistyville,MI,2025-05-18,4,306.84
62,884,Gregory,Serrano,mjohnson@example.org,Campbellbury,NC,1,100,Electronics Item 100,Electronics,5.98,34,Store New Juanburgh #34,West Lisa,PA,2025-02-26,2,11.96
63,89,Sara,Kim,omartinez@example.net,Lake Eric,NC,0,54,Sports Item 54,Sports,146.18,45,Store South Victoriaton #45,North James,GA,2024-05-17,1,146.18
64,1922,Samantha,Rhodes,jmartinez@example.org,Jaimefurt,OH,1,68,Toys Item 68,Toys,176.33,31,Store Knightbury #31,Pereztown,FL,2024-09-29,2,352.66
65,1207,Ryan,Randolph,james80@example.net,East Derrickfurt,IL,1,99,Sports Item 99,Sports,32.57,48,Store Lake Nathaniel #48,Margaretborough,IL,2025-01-06,1,32.57
66,1180,Dylan,Williamson,halldiamond@example.org,Rileyton,NY,1,98,Electronics Item 98,Electronics,112.94,7,Store Cassandraborough #7,New Robert,FL,2025-02-12,3,338.82
67,978,Lindsey,Smith,urhodes@example.org,Jimenezside,FL,0,55,Electronics Item 55,Electronics,182.71,50,Store North Justin #50,Vazquezbury,NY,2024-09-01,1,182.71
68,172,Sean,Robbins,hannahbell@example.org,Christinachester,NY,0,30,Electronics Item 30,Electronics,34.97,19,Store Victormouth #19,Matthewsview,TX,2024-04-02,4,139.88
69,837,Emily,Gomez,wcarey@example.com,Port Katrina,TX,1,77,Clothing Item 77,Clothing,182.64,17,Store Melindahaven #17,Sullivanstad,IL,2025-04-16,4,730.56
70,1523,Frank,Hopkins,jessica82@example.com,Richardshire,CA,0,25,Books Item 25,Books,59.43,1,Store Martinshire #1,Port Mistyville,MI,2024-10-31,1,59.43
71,1065,Justin,Keller,swalters@example.net,North Lindaville,NC,0,74,Electronics Item 74,Electronics,19.28,1,Store Martinshire #1,Port Mistyville,MI,2024-12-12,2,38.56
72,1409,Valerie,Lewis,scollins@example.net,Markshire,OH,1,49,Sports Item 49,Sports,184.13,21,Store Ritterview #21,Hugheshaven,MI,2023-11-20,2,368.26
73,317,Linda,Klein,pwalker@example.com,Josephland,GA,0,53,Electronics Item 53,Electronics,80.25,28,Store West Hunterville #28,Brianview,TX,2024-06-18,1,80.25
74,536,Tracey,Lewis,andrew48@example.net,North Benjamin,PA,1,84,Toys Item 84,Toys,119.19,35,Store Jocelynburgh #35,Smallhaven,PA,2025-02-26,2,238.38
75,1254,Dylan,Adams,scotthill@example.org,Thompsontown,NY,0,55,Electronics Item 55,Electronics,182.71,18,Store Mitchellmouth #18,Hendricksshire,FL,2023-11-17,2,365.42
76,418,William,Cruz,joshuastuart@example.com,Ballardberg,TX,0,88,Toys Item 88,Toys,63.76,27,Store Bergview #27,East Micheal,IL,2024-12-26,1,63.76
77,989,Andrea,Marsh,markduran@example.com,Andersonville,NY,1,71,Electronics Item 71,Electronics,150.64,12,Store New Jessicaville #12,Hernandezbury,NY,2024-03-08,3,451.92
78,991,Ryan,Roberts,bmiller@example.org,Lake William,TX,0,48,Clothing Item 48,Clothing,181.38,17,Store Melindahaven #17,Sullivanstad,IL,2024-05-06,2,362.76
79,1586,Carlos,Bennett,mitchellallison@example.com,Piercefurt,NY,0,40,Electronics Item 40,Electronics,73.13,46,Store Michaelberg #46,Thompsontown,PA,2023-10-03,2,146.26
80,1752,James,Moon,irodriguez@example.org,Smithburgh,FL,0,51,Toys Item 51,Toys,177.7,43,Store Jacobmouth #43,North Ronald,PA,2024-01-07,3,533.1
81,915,Timothy,Tapia,raymond27@example.com,Wagnerchester,NY,0,16,Toys Item 16,Toys,142.4,45,Store South Victoriaton #45,North James,GA,2024-04-08,3,427.2
82,1042,Christian,Garrett,nicoleaguirre@example.net,Port Jennifer,CA,0,21,Home Item 21,Home,92.52,26,Store Meganburgh #26,Port Sandratown,TX,2024-12-06,1,92.52
83,1258,Janice,Thompson,annettegutierrez@example.org,Nicoleburgh,OH,0,44,Sports Item 44,Sports,108.45,45,Store South Victoriaton #45,North James,GA,2023-11-21,3,325.35
84,330,John,Murray,davidbrown@example.org,East Madison,NC,0,88,Toys Item 88,Toys,63.76,25,Store West Kristin #25,Barbarafurt,NC,2023-08-10,3,191.28
85,187,Robert,Fowler,ismall@example.com,Timothyfurt,CA,0,82,Electronics Item 82,Electronics,130.08,10,Store Javierchester #10,Port Joanne,OH,2023-08-21,1,130.08
86,892,Joshua,Fuller,elizabeth13@example.com,Riddleside,CA,1,61,Electronics Item 61,Electronics,37.64,6,Store Dianamouth #6,Myersborough,IL,2023-10-10,4,150.56
87,760,Trevor,Morgan,uanderson@example.net,Thomasville,OH,1,9,Toys Item 9,Toys,14.16,6,Store Dianamouth #6,Myersborough,IL,2025-05-18,1,14.16
88,788,Allison,Henderson,angela46@example.com,South Cindystad,NY,0,78,Books Item 78,Books,80.67,26,Store Meganburgh #26,Port Sandratown,TX,2023-10-16,1,80.67
89,587,Angela,Smith,lauren51@example.org,Marymouth,NC,0,79,Toys Item 79,Toys,83.87,46,Store Michaelberg #46,Thompsontown,PA,2024-10-18,2,167.74
90,1585,Michelle,Flowers,steven72@example.net,Lake Johnton,TX,1,77,Clothing Item 77,Clothing,182.64,12,Store New Jessicaville #12,Hernandezbury,NY,2023-08-27,1,182.64
91,22,Ryan,Henderson,dshields@example.net,North Richardmouth,MI,0,82,Electronics Item 82,Electronics,130.08,13,Store Rebeccaland #13,Bakerborough,NY,2023-08-19,2,260.16
92,1062,Stephanie,Bonilla,woodmichael@example.com,Wayneville,NC,0,85,Toys Item 85,Toys,170.41,19,Store Victormouth #19,Matthewsview,TX,2025-05-09,4,681.64
93,1228,Tracy,Wright,richardmassey@example.net,North Katrina,NY,0,25,Books Item 25,Books,59.43,33,Store East Sarah #33,West Jessicamouth,GA,2023-09-03,1,59.43
94,1260,Shannon,Welch,benjamindavenport@example.com,New Ashley,PA,0,67,Clothing Item 67,Clothing,109.86,11,Store Josephberg #11,Lake Xavierhaven,NC,2025-04-14,2,219.72
95,490,Michael,Jimenez,robertgoodwin@example.com,Ramirezburgh,MI,1,87,Electronics Item 87,Electronics,61.52,42,Store North Samanthafort #42,Lake David,FL,2024-11-04,1,61.52
96,178,Melissa,Hayes,zosborn@example.net,Elizabethland,OH,0,1,Home Item 1,Home,44.78,18,Store Mitchellmouth #18,Hendricksshire,FL,2024-05-29,5,223.9
97,1372,Elizabeth,Barnett,kathryn41@example.com,Mayside,MI,0,100,Electronics Item 100,Electronics,5.98,26,Store Meganburgh #26,Port Sandratown,TX,2023-05-14,1,5.98
98,1061,Connor,Robinson,robertpayne@example.org,Robinsonborough,NY,1,52,Books Item 52,Books,183.61,1,Store Martinshire #1,Port Mistyville,MI,2024-09-05,2,367.22
99,1883,Jack,Foster,ivalentine@example.com,Lake Theresa,NY,0,95,Toys Item 95,Toys,33.09,6,Store Dianamouth #6,Myersborough,IL,2023-07-22,3,99.27
100,1700,Vernon,Galvan,nicholasgallagher@example.net,South Josephberg,GA,0,71,Electronics Item 71,Electronics,150.64,36,Store Greenfort #36,North Tylerburgh,NY,2024-12-06,1,150.64
101,1973,Roy,Sloan,jonespaul@example.com,Bakerbury,NY,1,75,Clothing Item 75,Clothing,159.87,18,Store Mitchellmouth #18,Hendricksshire,FL,2024-08-14,1,159.87
102,399,Kenneth,Marshall,limorgan@example.com,Lauriemouth,MI,1,29,Toys Item 29,Toys,187.81,30,Store Kimberlyport #30,Lake Lisa,TX,2023-12-13,2,375.62
103,535,Seth,Sanders,birdcaitlin@example.net,West Adam,IL,0,52,Books Item 52,Books,183.61,12,Store New Jessicaville #12,Hernandezbury,NY,2023-11-14,2,367.22
104,1145,William,Hopkins,david59@example.net,Breannafurt,IL,1,53,Electronics Item 53,Electronics,80.25,5,Store Coxton #5,Biancaview,TX,2023-08-28,2,160.5
105,1940,Jennifer,Richardson,danielspencer@example.net,Nathanton,TX,0,65,Clothing Item 65,Clothing,173.67,8,Store West Deborahfurt #8,South James,PA,2024-01-24,1,173.67
106,1795,Kevin,Mendez,poncelisa@example.com,Anthonytown,OH,0,66,Books Item 66,Books,167.95,35,Store Jocelynburgh #35,Smallhaven,PA,2024-07-09,5,839.75
107,907,Wesley,Bush,hallchristina@example.org,Joelchester,NY,0,74,Electronics Item 74,Electronics,19.28,25,Store West Kristin #25,Barbarafurt,NC,2024-10-02,1,19.28
108,499,Joseph,Wallace,julie87@example.com,East Melissa,GA,0,73,Toys Item 73,Toys,69.68,49,Store East Gary #49,Perezborough,MI,2025-02-25,2,139.36
109,940,Ethan,Hickman,omiranda@example.net,Elizabethville,PA,0,44,Sports Item 44,Sports,108.45,44,Store Jeremyshire #44,Port Samanthafurt,GA,2024-11-26,5,542.25
110,1766,Edward,Jones,charlesduncan@example.com,Novakton,FL,0,59,Toys Item 59,Toys,42.54,2,Store Tuckerhaven #2,West Richardstad,OH,2024-07-13,4,170.16
111,139,Monica,Reese,masonjackson@example.net,New Williamstad,FL,0,62,Sports Item 62,Sports,108.98,25,Store West Kristin #25,Barbarafurt,NC,2023-08-28,1,108.98
112,452,Melanie,Drake,katherinetaylor@example.org,New Stacy,PA,0,82,Electronics Item 82,Electronics,130.08,44,Store Jeremyshire #44,Port Samanthafurt,GA,2024-11-08,3,390.24
113,647,Caleb,Roth,crawfordlauren@example.org,Port Jamesmouth,TX,1,90,Books Item 90,Books,79.38,27,Store Bergview #27,East Micheal,IL,2025-01-23,1,79.38
114,20,Crystal,Perez,heathchad@example.org,Elizabethborough,OH,1,46,Toys Item 46,Toys,6.72,45,Store South Victoriaton #45,North James,GA,2024-09-28,2,13.44
115,191,Lisa,Peck,james27@example.net,Jimenezport,FL,0,34,Sports Item 34,Sports,112.28,26,Store Meganburgh #26,Port Sandratown,TX,2024-10-14,1,112.28
116,701,Marie,Pope,butlersabrina@example.org,North Timothy,NC,1,87,Electronics Item 87,Electronics,61.52,5,Store Coxton #5,Biancaview,TX,2024-09-02,3,184.56
117,976,Justin,Cisneros,kevinhodge@example.com,Townsendland,PA,0,71,Electronics Item 71,Electronics,150.64,21,Store Ritterview #21,Hugheshaven,MI,2025-02-27,4,602.56
118,1175,Juan,Fleming,christopher38@example.com,Ashleyton,NC,0,46,Toys Item 46,Toys,6.72,18,Store Mitchellmouth #18,Hendricksshire,FL,2023-09-21,1,6.72
119,1400,Christina,Arellano,yvonne70@example.org,Lake Victoria,OH,0,24,Electronics Item 24,Electronics,78.55,13,Store Rebeccaland #13,Bakerborough,NY,2023-09-16,4,314.2
120,481,Patrick,Kramer,ericahall@example.com,Moseshaven,CA,0,64,Toys Item 64,Toys,127.76,48,Store Lake Nathaniel #48,Margaretborough,IL,2024-11-21,3,383.28
121,424,Michelle,Newton,yyoung@example.net,Heatherton,PA,0,31,Home Item 31,Home,121.39,15,Store Elizabethstad #15,East John,FL,2025-05-14,4,485.56
122,1713,Victoria,Davis,umaxwell@example.net,North Rhondaborough,TX,1,26,Home Item 26,Home,30.36,40,Store Port Crystalstad #40,Port Scott,MI,2024-01-30,3,91.08
123,219,Michael,Walker,timothygibson@example.net,Robertside,MI,0,46,Toys Item 46,Toys,6.72,8,Store West Deborahfurt #8,South James,PA,2024-03-10,1,6.72
124,1359,Nathan,Perry,robertthompson@example.net,Lake Lisa,TX,0,11,Toys Item 11,Toys,65.97,32,Store New Debbieville #32,Bentleystad,MI,2023-06-14,2,131.94
125,1756,Kelly,Williams,reynoldsjustin@example.org,South Jamie,GA,0,79,Toys Item 79,Toys,83.87,35,Store Jocelynburgh #35,Smallhaven,PA,2024-02-17,1,83.87
126,761,Lawrence,Good,rsavage@example.net,Saraport,FL,0,6,Sports Item 6,Sports,80.83,40,Store Port Crystalstad #40,Port Scott,MI,2023-09-20,3,242.49
127,1805,Jorge,Mcpherson,timothy62@example.net,West Douglasland,IL,0,41,Clothing Item 41,Clothing,134.35,37,Store Lake Allisonmouth #37,East Rebecca,FL,2025-01-27,2,268.7
128,1566,Joseph,Bowers,qharris@example.net,North Danielview,OH,0,36,Home Item 36,Home,107.45,33,Store East Sarah #33,West Jessicamouth,GA,2025-03-21,2,214.9
129,1537,Christopher,Ramsey,gibsonkaitlyn@example.org,Johnsonport,OH,1,36,Home Item 36,Home,107.45,37,Store Lake Allisonmouth #37,East Rebecca,FL,2024-08-22,1,107.45
130,1637,Sierra,Swanson,gayfrancis@example.com,New Lisa,MI,1,17,Toys Item 17,Toys,76.71,28,Store West Hunterville #28,Brianview,TX,2024-01-18,1,76.71
131,67,Joseph,Christian,ramirezshannon@example.com,Rogersfort,TX,0,62,Sports Item 62,Sports,108.98,33,Store East Sarah #33,West Jessicamouth,GA,2023-10-11,4,435.92
132,1406,Jacqueline,Bray,stevenandrews@example.org,Montgomeryfort,GA,1,45,Sports Item 45,Sports,165.62,50,Store North Justin #50,Vazquezbury,NY,2024-02-13,1,165.62
133,247,Andre,Li,ldrake@example.org,New Eduardoborough,GA,0,23,Clothing Item 23,Clothing,148.34,45,Store South Victoriaton #45,North James,GA,2024-09-21,2,296.68
134,1412,John,Guzman,maryjohnson@example.com,West Christopherfurt,IL,1,67,Clothing Item 67,Clothing,109.86,1,Store Martinshire #1,Port Mistyville,MI,2023-06-08,2,219.72
135,778,Lisa,Kelly,mackallen@example.net,Whiteburgh,FL,0,2,Sports Item 2,Sports,11.3,38,Store Chavezshire #38,Rossmouth,TX,2025-03-30,2,22.6
136,1255,Larry,Castro,petersonashley@example.net,New Sarahland,OH,0,13,Toys Item 13,Toys,54.01,17,Store Melindahaven #17,Sullivanstad,IL,2024-02-27,1,54.01
137,486,Travis,Galloway,travis84@example.com,Port Barbara,NY,1,24,Electronics Item 24,Electronics,78.55,18,Store Mitchellmouth #18,Hendricksshire,FL,2023-11-05,2,157.1
138,703,Anthony,Olsen,davidbenson@example.net,West David,PA,0,61,Electronics Item 61,Electronics,37.64,24,Store New Martinport #24,Port Matthewfurt,GA,2025-02-06,5,188.2
139,432,Danny,Reed,rebeccaaustin@example.net,North Felicia,CA,0,24,Electronics Item 24,Electronics,78.55,27,Store Bergview #27,East Micheal,IL,2025-03-27,2,157.1
140,748,Robert,Daniel,shawn00@example.net,Lake Scott,GA,0,90,Books Item 90,Books,79.38,26,Store Meganburgh #26,Port Sandratown,TX,2024-09-05,3,238.14
141,1171,Patrick,Williams,nicolaskeller@example.net,Lake Kevinside,NC,0,36,Home Item 36,Home,107.45,9,Store South Dennis #9,North Kennethberg,FL,2025-01-03,2,214.9
142,1668,John,Ballard,courtneysantiago@example.net,Codyfort,OH,1,74,Electronics Item 74,Electronics,19.28,7,Store Cassandraborough #7,New Robert,FL,2024-11-11,2,38.56
143,483,Thomas,Gomez,ian37@example.net,East Jill,PA,0,93,Clothing Item 93,Clothing,150.62,36,Store Greenfort #36,North Tylerburgh,NY,2024-05-06,1,150.62
144,402,Joseph,Cruz,pmarsh@example.org,East Heatherton,TX,1,56,Home Item 56,Home,105.29,10,Store Javierchester #10,Port Joanne,OH,2025-03-02,4,421.16
145,1651,Jackie,Garcia,ruizjessica@example.org,Lake Susan,OH,0,95,Toys Item 95,Toys,33.09,1,Store Martinshire #1,Port Mistyville,MI,2025-01-10,1,33.09
146,276,Ryan,Johnson,shannonjordan@example.org,East Joshua,CA,1,23,Clothing Item 23,Clothing,148.34,41,Store North Sarastad #41,Debraton,TX,2023-11-07,2,296.68
147,647,Caleb,Roth,crawfordlauren@example.org,Port Jamesmouth,TX,1,67,Clothing Item 67,Clothing,109.86,32,Store New Debbieville #32,Bentleystad,MI,2023-06-21,2,219.72
148,1759,Jose,Arias,ijackson@example.com,Muellermouth,MI,0,39,Sports Item 39,Sports,109.72,37,Store Lake Allisonmouth #37,East Rebecca,FL,2025-02-23,1,109.72
149,1415,Jeremy,Duke,morgankaren@example.net,Andrewton,NY,1,7,Sports Item 7,Sports,157.94,11,Store Josephberg #11,Lake Xavierhaven,NC,2024-09-15,1,157.94
150,521,Jessica,Smith,ihoward@example.com,South Jasmineside,PA,0,8,Toys Item 8,Toys,61.09,31,Store Knightbury #31,Pereztown,FL,2023-07-29,1,61.09
151,1525,Christopher,King,marvinhoward@example.com,Molinaburgh,OH,0,81,Toys Item 81,Toys,28.07,22,Store Riversland #22,Clarkview,CA,2024-06-16,1,28.07
152,1148,Sandra,Brown,danny17@example.com,East Manuelmouth,GA,0,34,Sports Item 34,Sports,112.28,36,Store Greenfort #36,North Tylerburgh,NY,2023-06-13,1,112.28
